go .	가다 .
we're ambitious .	우리는 야심적입니다 .
we're available .	우리는 사용할 수 있습니다 .
we're both fine .	우리 둘 다 괜찮아요 .
we're busy , tom .	우리는 바빠요, 탐 .
we're comedians .	우리는 코미디언이에요 .
we're committed .	우리는 헌신적입니다 .
we're confident .	우리는 확신합니다 .
we're contented .	우리는 만족합니다 .
we're dedicated .	우리는 헌신적입니다 .
we're depressed .	우리는 우울해요 .
we're different .	우리는 다릅니다 .
we're done here .	이제 끝났습니다 .
we're expecting .	우리는 기대하고 있습니다 .
we're fixing it .	우리는 그것을 고치고 있습니다 .
we're flattered .	우리는 기뻐요 .
we're from here .	우리는 여기서 왔습니다 .
we're gardeners .	우리는 정원사입니다 .
we're gentlemen .	우리는 신사입니다 .
we're giving up .	우리는 포기하고 있어요 .
we're going now .	우리는 지금 갈거야 .
we're going out .	우리는 외출 중이야 .
we're here , too .	우리도 여기 있어요 .
we're here , too .	우리도 여기에 있어요 .
we're in charge .	우리가 책임지고 있어요 .
we're in danger .	우리는 위험에 처해 있습니다 .
we're incorrect .	우리는 틀렸어 .
we're listening .	우리는 듣고 있어요 .
we're losing it .	우리는 그것을 잃고 있어요 .
we're neighbors .	우리는 이웃이에요 .
we're newcomers .	우리는 새로 온 사람입니다 .
we're newlyweds .	우리는 신혼이에요 .
we're not alone .	우리는 혼자가 아닙니다 .
we're not fools .	우리는 바보가 아닙니다 .
we're not fussy .	우리는 까다롭지 않아요 .
we're not going .	우리는 가지 않을 거예요 .
we're not happy .	우리는 행복하지 않습니다 .
we're not ready .	우리는 아직 준비가 안 됐어요 .
we're not young .	우리는 어리지 않아요 .
we're past that .	우리는 그 과거입니다 .
we're plastered .	우리는 회 반죽을 받았습니다 .
we're powerless .	우리는 무력합니다 .
we're prisoners .	우리는 죄수입니다 .
we're ready now .	이제 준비됐어요 .
we're realistic .	우리는 현실적입니다 .
we're resigning .	우리는 사임합니다 .
we're resilient .	우리는 탄력적입니다 .
we're safe here .	우리는 여기 안전해요 .
we're satisfied .	우리는 만족합니다 .
we're sensitive .	우리는 민감해요 .
we're separated .	우리는 헤어졌다 .
we're surprised .	우리는 놀랐습니다 .
we're surviving .	우리는 살아남고 있어요 .
we're survivors .	우리는 생존자입니다 .
we're too close .	우리는 너무 가까워요 .
we're uninsured .	우리는 보험이 없습니다 .
we're unrelated .	우리는 관련이 없습니다 .
we're very busy .	우리는 매우 바빠요 .
we've been busy .	우리는 바빴어요 .
we've no choice .	우리에게는 선택의 여지가 없습니다 .
what a big cake !	정말 큰 케이크야 !
what a blessing !	얼마나 큰 축복입니까 !
what a disaster !	정말 재앙이야 !
what a huge dog !	정말 거대한 개야 !
what a nice tie !	정말 좋은 넥타이네요 !
what a pleasure !	정말 기쁘네요 !
what a prospect !	정말 좋은 전망이에요 !
what a rude man !	정말 무례한 사람이군요 !
what a treasure !	정말 보물이에요 !
what a weakling !	정말 약해 !
what can tom do ?	톰은 무엇을 할 수 있나요 ?
what can you do ?	당신은 무엇을 할 수 있나요 ?
what could i do ?	내가 뭘 할 수 있지 ?
what did i miss ?	내가 무엇을 놓쳤나요 ?
what did tom do ?	톰은 무엇을 했나요 ?
what did he say ?	그 사람이 뭐라고 했어 ?
what did you do ?	당신은 무엇을 했나요 ?
what do you say ?	당신은 무엇을 말합니까 ?
what do you see ?	너는 무엇을 보느냐 ?
what drives you ?	무엇이 당신을 움직이게 하나요 ?
what fell on me ?	나한테 뭐가 떨어졌지 ?
what is he like ?	그 사람은 어때 ?
what is his age ?	그 사람 나이가 몇이에요 ?
what is missing ?	무엇이 빠졌나요 ?
what scared you ?	뭐가 무서워 ?
what time is it ?	지금 몇 시야 ?
what was inside ?	안에는 무엇이 있었나요 ?
what was it for ?	무엇 때문에 그랬어 ?
what was stolen ?	무엇을 훔쳤나요 ?
what'll it cost ?	비용은 얼마인가요 ?
what's tom like ?	톰은 어때 ?
what's all this ?	이게 다 뭐야 ?
what's going on ?	무슨 일이야 ?
what's his name ?	그 사람 이름이 뭐예요 ?
what's in there ?	거기 뭐가 있지 ?
what's it about ?	무슨 일이야 ?
what's its name ?	이름이 뭐예요 ?
what's kept you ?	무엇이 당신을 지켰나요 ?
what's my prize ?	내 상품은 무엇입니까 ?
what's our plan ?	우리 계획이 뭐야 ?
what's so funny ?	뭐가 그렇게 웃긴데 ?
what's the cost ?	비용은 얼마입니까 ?
what's the goal ?	목표는 무엇입니까 ?
what's the idea ?	무슨 생각이야 ?
what's the plan ?	계획은 뭐야 ?
what's the rush ?	뭐가 급해 ?
what's the time ?	몇 시야 ?
what's this for ?	이건 뭐에 쓰는 거야 ?
what's up , dude ?	무슨 일이야, 친구 ?
what's your gpa ?	네 평점은 얼마야 ?
what's your age ?	당신의 나이는 무엇입니까 ?
what's your job ?	당신의 직업은 무엇입니까 ?
what've you got ?	너는 무엇을 가지고 있니 ?
when can we eat ?	우리 언제 먹을 수 있어 ?
when did it end ?	언제 끝났어 ?
where did he go ?	그 사람은 어디로 갔나요 ?
where do i turn ?	나는 어디로 향해야 합니까 ?
where is boston ?	보스턴은 어디에 있나요 ?
where is father ?	아버지는 어디 계세요 ?
where is my car ?	내 차는 어디에 있나요 ?
where is my dog ?	내 개는 어디 있지 ?
where is my son ?	내 아들은 어디 있지 ?
where's tom now ?	톰 지금 어디 있어 ?
where's my book ?	내 책은 어디에 있나요 ?
where's my ring ?	내 반지는 어디 있지 ?
where's my room ?	내 방은 어디 있지 ?
where's the bag ?	가방은 어디에 있나요 ?
where's the car ?	차는 어디에 있나요 ?
where's the cat ?	고양이는 어디 있어 ?
where's the dog ?	개는 어디 있지 ?
where's the key ?	열쇠는 어디에 있나요 ?
where's the map ?	지도는 어디에 있나요 ?
where's the oar ?	노는 어디에 있나요 ?
which key is it ?	무슨 열쇠야 ?
who are you all ?	너희들은 모두 누구냐 ?
who can help me ?	누가 나를 도와줄 수 있나요 ?
who contributed ?	누가 기여했는가 ?
who did you see ?	누구 봤어 ?
who is that guy ?	저 사람은 누구야 ?
who is that man ?	저 사람은 누구야 ?
who is this boy ?	이 소년은 누구입니까 ?
who is this guy ?	이 사람은 누구야 ?
who likes beans ?	콩 좋아하는 사람 ?
who punched you ?	누가 당신을 때렸어요 ?
who volunteered ?	누가 자원했는가 ?
who wants jello ?	누가 젤리 먹을래 ?
who's been shot ?	누가 총에 맞았나요 ?
who's in charge ?	책임자는 누구야 ?
who's screaming ?	누가 비명을 지르고 있나요 ?
who's that girl ?	저 여자는 누구야 ?
who's the loser ?	패자는 누구야 ?
why am i crying ?	내가 왜 울고 있는 거지 ?
why are we here ?	우리는 왜 여기 있는 걸까요 ?
why are we poor ?	우리는 왜 가난한가 ?
why are you sad ?	왜 슬퍼 ?
why did tom lie ?	톰은 왜 거짓말을 했나요 ?
why did you lie ?	왜 거짓말을 했어 ?
why do that now ?	지금 왜 그러는 걸까요 ?
why do we dream ?	우리는 왜 꿈을 꾸는가 ?
why is tom here ?	톰이 왜 여기 있어 ?
why is she here ?	그 사람이 왜 여기 있어요 ?
why not ask tom ?	톰한테 물어보는 게 어때 ?
why should i go ?	내가 왜 가야 합니까 ?
will he recover ?	그 사람 회복될까 ?
women love that .	여자들은 그걸 좋아해요 .
words failed me .	말은 나에게 실패했다 .
would you do it ?	당신은 그것을 할 것인가 ?
write something .	뭔가를 써보세요 .
you almost died .	당신은 거의 죽을 뻔했습니다 .
you always sing .	당신은 항상 노래합니다 .
you are a prude .	당신은 자존심이 강한 사람입니다 .
you are my hero .	당신은 나의 영웅입니다 .
you are naughty .	당신은 장난 꾸러기입니다 .
you are so cute .	당신은 너무 귀여워요 .
you are tallest .	당신은 가장 키가 큽니다 .
you are the one .	당신은 바로 그 사람입니다 .
you aren't ugly .	당신은 못생긴 것이 아닙니다 .
you can come in .	당신은 들어올 수 있습니다 .
you can do that .	당신은 그렇게 할 수 있습니다 .
you can do this .	당신은 이것을 할 수 있습니다 .
you can go back .	돌아갈 수 있어요 .
you can go home .	집에 갈 수 있어요 .
you can make it .	당신은 그것을 만들 수 있습니다 .
you can take it .	당신은 그것을 취할 수 있습니다 .
you can't leave .	당신은 떠날 수 없습니다 .
you cannot lose .	당신은 잃을 수 없습니다 .
you deserved it .	당신은 그럴 자격이 있습니다 .
you have my mug .	당신은 내 머그를 가지고 있습니다 .
you know enough .	당신은 충분히 알고 있습니다 .
you know people .	당신은 사람들을 알고 있습니다 .
you let me down .	당신은 나를 실망시켰습니다 .
you lied to tom .	당신은 톰에게 거짓말을 했어요 .
you look strong .	당신은 강해 보인다 .
you look stupid .	너 바보 같아 보여 .
you lucky devil !	이 행운의 악마야 !
you made my day .	당신은 내 하루를 만들었습니다 .
you mustn't lie .	거짓말을 해서는 안 된다 .
you nearly died .	당신은 거의 죽을 뻔했습니다 .
you need a ride ?	태워줄 필요 있어 ?
you should stay .	당신은 머물러야합니다 .
you should stop .	그만둬야 해 .
you smell awful .	너 냄새가 지독해 .
you sound angry .	화난 것 같구나 .
you sound tired .	너 피곤한 것 같구나 .
you startled me !	너 때문에 놀랐어 !
you will listen .	당신은 듣게 될 것입니다 .
you'd better go .	당신은가는 것이 좋습니다 .
you're a menace .	당신은 위협적이에요 .
you're a winner .	당신은 승자입니다 .
you're adorable .	당신은 사랑스럽다 .
you're after me .	당신은 나를 쫓고 있어요 .
you're all done .	다 끝났어 .
you're all mine .	당신은 모두 내 것입니다 .
you're an idiot .	당신은 바보입니다 .
you're annoying .	너 짜증나 .
you're arrogant .	당신은 거만해요 .
you're blushing .	얼굴이 빨개지네요 .
you're careless .	당신은 부주의합니다 .
you're charming .	당신은 매력적이에요 .
you're cheating .	당신은 바람을 피우고 있습니다 .
you're confused .	당신은 혼란스러워요 .
you're creative .	당신은 창의적이에요 .
you're demented .	당신은 치매입니다 .
you're disloyal .	당신은 불충실합니다 .
you're faithful .	당신은 충실합니다 .
you're fearless .	당신은 두려움이 없습니다 .
you're forgiven .	당신은 용서 받았습니다 .
you're grounded .	당신은 근거가 없습니다 .
you're hopeless .	당신은 희망이 없습니다 .
you're horrible .	넌 정말 끔찍해 .
you're mistaken .	당신은 착각하고 있습니다 .
you're my enemy .	당신은 나의 적입니다 .
you're no saint .	당신은 성자가 아닙니다 .
you're not dead .	당신은 죽지 않았습니다 .
you're not late .	당신은 늦지 않았습니다 .
you're not sick .	당신은 아프지 않아요 .
you're outgoing .	당신은 외향적입니다 .
you're pathetic .	당신은 한심해요 .
you're powerful .	당신은 강력합니다 .
you're punctual .	당신은 시간을 잘 지키네요 .
you're reliable .	당신은 믿을 만해요 .
you're restless .	당신은 안절부절 못해요 .
you're ruthless .	당신은 무자비해요 .
you're safe now .	이제 안전해요 .
you're so bossy .	당신은 너무 강력해요 .
you're so naive .	당신은 너무 순진 해요 .
you're so picky .	당신은 너무 까다 롭습니다 .
you're so sweet .	당신은 정말 다정해요 .
you're so weird .	너 정말 이상해 .
you're so wrong .	당신은 정말 틀렸어 .
you're stalling .	당신은 지연되고 있습니다 .
you're stubborn .	당신은 고집이 세다 .
you're talented .	당신은 재능이 있어요 .
you're the best .	당신은 최고입니다 .
you're the boss .	당신은 상사입니다 .
you're to blame .	당신은 책임이 있습니다 .
you're too loud .	너 너무 시끄러워 .
you're too slow .	너 너무 느리다 .
you're too weak .	당신은 너무 약해요 .
you're unbiased .	당신은 편견이 없습니다 .
you're up early .	일찍 일어났구나
you've been had .	당신은 .
you've found it .	당신은 그것을 발견했습니다 .
your cat is fat .	네 고양이는 뚱뚱해 .
your time is up .	시간이 다 됐어요 .
yours is better .	당신 것이 더 좋습니다 .
5 is less than 8 .	5는 8보다 작습니다 .
"look ," she said .	"보세요." 그녀가 말했다 .
a bird has wings .	새에는 날개가 있습니다 .
a cab is waiting .	택시가 기다리고 있어요 .
a cop was killed .	경찰이 사망했습니다 .
a deal is a deal .	거래는 거래다 .
a dog is barking .	개가 짖어요 .
a fuse has blown .	퓨즈가 끊어졌습니다 .
a girl phoned me .	한 여자가 나에게 전화를 했어요 .
accidents happen .	사고가 발생합니다 .
air is invisible .	공기는 보이지 않습니다 .
all are welcomed .	모두 환영합니다 .
all hope is gone .	모든 희망은 사라졌습니다 .
all men must die .	남자들은 다 죽어야 해 .
all of them died .	그들 모두는 죽었습니다 .
answer the phone .	전화를 받아라 .
any book will do .	어떤 책이라도 그럴 것이다 .
anybody knows it .	누구든지 그것을 알고 있습니다 .
anyone can do it .	누구나 할 수 있습니다 .
are they friends ?	그 사람들은 친구야 ?
are they in love ?	그들은 사랑에 빠졌나요 ?
are those for me ?	그게 나한테 맞는 거야 ?
are we all happy ?	우리 모두 행복해요 ?
are we done here ?	우리 여기서 끝났어 ?
are we going far ?	우리 멀리 가는 거야 ?
are we safe here ?	우리 여기 안전한가요 ?
are you american ?	당신은 미국인입니까 ?
are you catholic ?	당신은 가톨릭 신자입니까 ?
are you japanese ?	당신은 일본인입니까 ?
are you a doctor ?	당신은 의사입니까 ?
are you a golfer ?	당신은 골퍼입니까 ?
are you a lawyer ?	당신은 변호사입니까 ?
are you a maniac ?	당신은 미치광이입니까 ?
are you a singer ?	당신은 가수입니까 ?
are you a typist ?	당신은 타이피스트입니까 ?
are you a wizard ?	당신은 마법사입니까 ?
are you all nuts ?	너네 다 미쳤어 ?
are you an idiot ?	너 바보야 ?
are you blushing ?	얼굴이 빨개졌어 ?
are you brothers ?	당신들은 형제입니까 ?
are you busy now ?	지금 바빠 ?
are you drinking ?	너 술 마시고 있니 ?
are you dyslexic ?	너 난독증이 있니 ?
are you finished ?	끝났어 ?
are you for real ?	너 진짜야 ?
are you free now ?	지금 시간 있어 ?
are you homeless ?	당신은 노숙자입니까 ?
are you in paris ?	너 파리에 있니 ?
are you new here ?	여기 처음 왔어 ?
are you on crack ?	너 지금 크랙 있는 거야 ?
are you positive ?	당신은 긍정적인가요 ?
are you pregnant ?	임신했어요 ?
are you still up ?	아직 일어나 있어 ?
are you students ?	당신은 학생입니까 ?
are you studying ?	공부하고 있어요 ?
are you two busy ?	너희 둘은 바빠 ?
aren't you happy ?	행복하지 않아 ?
aren't you tired ?	피곤하지 않아 ?
ask her her name .	그녀에게 이름을 물어보세요 .
ask him his name .	그에게 이름을 물어보세요 .
ask them to help .	그들에게 도움을 요청하세요 .
at last , he came .	마침내 그가 왔다 .
attention please !	주의해주세요 !
be more flexible .	좀 더 유연해지세요 .
be there tonight .	오늘 밤 거기에 있어라 .
birds have wings .	새들은 날개를 가지고 있습니다 .
bite your tongue .	혀를 깨물어 라 .
boxing is boring .	권투는 지루하다 .
bring me a chair .	나에게 의자를 가져다 줘 .
bring me a drink .	나한테 한잔 가져다 줘 .
bring me my cane .	내 지팡이를 가져오세요 .
bring them to me .	나에게 가져오세요 .
brush your teeth .	이를 닦으세요 .
business is slow .	사업이 느리다 .
call me tomorrow .	내일 나한테 전화해 .
can i be excused ?	용서받을 수 있나요 ?
can i be of help ?	제가 도움이 될까요 ?
can i get a beer ?	맥주 한잔해도 될까요 ?
can i go to work ?	나 일하러 갈 수 있어 ?
can i have a hug ?	포옹해도 될까요 ?
can i sleep here ?	나 여기서 자도 돼 ?
can anyone drive ?	누구든지 운전할 수 있나요 ?
can rabbits swim ?	토끼는 수영할 수 있나요 ?
can we afford it ?	우리가 그것을 감당할 수 있나요 ?
can we drop this ?	이거 떨어뜨릴 수 있을까 ?
can we get a dog ?	우리 개 한 마리 키울 수 있어 ?
can we go inside ?	우리 안으로 들어갈 수 있나요 ?
can we speak now ?	우리 지금 얘기할 수 있어 ?
can you call him ?	그 사람에게 전화할 수 있어 ?
can you continue ?	계속할 수 있어 ?
can you find out ?	알아낼 수 있나요 ?
can you hurry up ?	서둘러 줄 수 있어 ?
can you meet him ?	그 사람을 만날 수 있나요 ?
can you prove it ?	증명할 수 있나요 ?
can you save tom ?	톰을 구할 수 있나요 ?
can you spell it ?	철자할 수 있어 ?
change is needed .	변화가 필요합니다 .
check your order .	주문을 확인하세요 .
choose carefully .	신중하게 선택하세요 .
choose something .	뭔가를 선택하세요 .
climb to the top .	정상에 올라라 .
close the blinds .	블라인드를 닫으세요 .
close the drawer .	서랍을 닫으세요 .
close the window .	창문을 닫으세요 .
close your books .	책을 닫으세요 .
come and help us .	와서 우리를 도와주세요 .
come immediately .	즉시 오세요 .
come on , grow up .	어서, 자라라 .
come on , help me .	어서, 도와주세요 .
come on , tell me .	어서, 말해보세요 .
come on , wake up .	어서, 일어나 .
come run with me .	나랑 같이 달려요 .
come sit with us .	와서 우리와 함께 앉으세요 .
come with me now .	지금 나와 함께 가자 .
concentrate , tom .	집중해, 톰 .
consult a doctor .	의사와 상담하십시오 .
continue digging .	계속 파다 .
continue working .	계속 일하세요 .
control yourself !	너 자신을 통제해 !
control yourself .	자신을 통제하십시오 .
cookie is my dog .	쿠키는 내 개야 .
could i help you ?	내가 도와드릴까요 ?
cows supply milk .	젖소는 우유를 공급합니다 .
cross the bridge .	다리를 건너세요 .
cross the street .	길을 건너세요 .
crying is normal .	우는 것은 정상입니다 .
cut the red wire .	빨간선을 자르세요 .
dial 110 at once .	한번에 110번을 누르세요 .
did i write that ?	내가 그걸 썼어 ?
did tom go alone ?	톰은 혼자 갔나요 ?
did tom say that ?	톰이 그렇게 말했어 ?
did anyone laugh ?	누구 웃었어 ?
did he touch you ?	그 사람이 당신을 만졌나요 ?
did she say that ?	그 사람이 그렇게 말했어 ?
did the dog bark ?	개가 짖었나요 ?
did they say how ?	그들이 어떻게 말했어 ?
did they say why ?	왜 그랬다고 했어 ?
did you find tom ?	톰 찾았어 ?
did you have fun ?	재미있었어 ?
did you kill tom ?	당신이 톰을 죽였나요 ?
did you love tom ?	톰 사랑했어 ?
did you meet her ?	그 사람 만났어 ?
did you phone me ?	나한테 전화했어 ?
did you see that ?	그거 봤어 ?
did you stop tom ?	톰 그만뒀어 ?
did you tell tom ?	톰한테 말했어 ?
did you vote yet ?	아직 투표 안 했어 ?
do i smell bacon ?	베이컨 냄새 나나요 ?
do as i tell you .	내가 말하는 대로 하세요 .
do as i told you .	내가 말한 대로 하세요 .
do as you please .	마음대로 하세요 .
do it delicately .	섬세하게 하세요 .
do it right away .	당장 하세요 .
do what you like .	당신이 좋아하는 일을 하세요 .
do what you want .	당신이 원하는 것을하세요 .
do you eat a lot ?	많이 먹나요 ?
do you even care ?	너도 신경쓰니 ?
do you feel sick ?	몸이 아프니 ?
do you have beer ?	맥주 있어요 ?
do you have them ?	당신은 그것을 가지고 있나요 ?
do you have time ?	시간 있어요 ?
do you hear that ?	그거 들려 ?
do you know them ?	당신은 그들을 알고 있나요 ?
do you like cats ?	고양이를 좋아해요 ?
do you like dogs ?	당신은 개를 좋아합니까 ?
do you like fish ?	당신은 물고기를 좋아합니까 ?
do you like mine ?	내 마음에 드니 ?
do you like snow ?	눈이 좋아 ?
do you like that ?	당신은 그것을 좋아합니까 ?
do you like this ?	너 이거 좋아해 ?
do you live here ?	당신은 여기에 살고 있습니까 ?
do you mind much ?	많이 신경쓰이나요 ?
do you need help ?	도움이 필요해요 ?
do you own a gun ?	당신은 총을 가지고 있나요 ?
do you play golf ?	당신은 골프를 치나요 ?
do you trust her ?	당신은 그녀를 믿나요 ?
do you want kids ?	당신은 아이를 원하십니까 ?
do you want this ?	이걸 원해 ?
do you want wine ?	와인 줄까 ?
do you work here ?	여기서 일해요 ?
do your homework .	숙제를 해라 .
does anyone care ?	누구든지 신경쓰나요 ?
dogs are barking .	개들이 짖어대요 .
don't ask me why .	이유는 묻지 마세요 .
don't be a moron .	바보처럼 굴지 마세요 .
don't be alarmed .	놀라지 마십시오 .
don't be foolish .	어리석은 짓은 하지 마세요 .
don't be so lazy .	너무 게으르지 마세요 .
don't be so slow .	너무 천천히 하지 마세요 .
don't come again .	다시는 오지 마세요 .
don't deceive me .	나를 속이지 마십시오 .
don't disturb me .	나를 방해하지 마십시오 .
don't drink that .	그거 마시지 마세요 .
don't leave town .	마을을 떠나지 마세요 .
don't look at it .	그것을 보지 마십시오 .
don't look at me .	나를 보지 마세요 .
don't look at us .	우리를 보지 마세요 .
don't lose heart .	낙심하지 마십시오 .
don't make me go .	나를 가게 만들지 마세요 .
don't make noise .	소음을 내지 마십시오 .
don't mention it .	그것을 언급하지 마십시오 .
don't pick it up .	그것을 선택하지 마십시오 .
don't rip me off !	나를 찢어버리지 마세요 !
don't say a word .	아무 말도하지 마십시오 .
don't talk to me !	나한테 말 걸지 마 !
don't talk to me .	나한테 말 걸지 마 .
don't touch this !	이거 만지지 마세요 !
don't yell at me .	나에게 소리 지르지 마세요 .
don't you get it ?	이해가 안 가 ?
drink more water .	물을 더 마셔 라 .
drink some water .	물 좀 마셔요 .
drink this juice .	이 주스를 ​​마셔요 .
drinks are on me .	음료수는 나한테 있어 .
eat meals slowly .	식사는 천천히 하세요 .
eat your spinach .	시금치를 먹어라 .
eat your veggies .	야채를 먹어라 .
enjoy yourselves .	마음껏 즐겨라 .
everybody groans .	모두가 신음한다 .
everybody jumped .	모두가 뛰어내렸다 .
everybody saw it .	모두가 그것을 보았다 .
everybody's dead .	모두 죽었어 .
everybody's here .	다들 여기 있어요 .
everybody's home .	모두 집에 있어요 .
everybody's safe .	모두 안전해요 .
everyone changes .	모두가 변한다 .
everyone cheered .	모두가 환호했다 .
everyone had fun .	모두들 즐거웠습니다 .
everyone is here .	다들 여기 있어요 .
everyone laughed .	모두가 웃었다 .
everyone noticed .	모두가 알아 차 렸습니다 .
everyone's lying .	다들 거짓말을 하고 있어 .
everyone's there .	다들 거기 있어요 .
everything is ok .	다 괜찮아요 .
evil always wins .	악은 항상 승리합니다 .
explain it to me .	나에게 설명해주세요 .
family is family .	가족은 가족이다 .
feed the hamster .	햄스터에게 먹이를 주세요 .
fight like a man .	남자답게 싸워라 .
follow my advice .	내 조언을 따르세요 .
follow the rules .	규칙을 따르십시오 .
food costs money .	음식은 돈이 든다 .
for what purpose ?	무슨 목적으로 ?
forget about her .	그 사람은 잊어버려 .
gardening is fun .	정원 가꾸기는 재미있어요 .
get away from me .	나에게서 떨어져 .
get back to work .	다시 일하러 가세요 .
get into the car .	차에 타세요 .
get on the horse .	말을 타세요 .
get on your bike .	자전거를 타세요 .
get on your feet .	일어나라 .
get out of there .	거기서 나가세요 .
get to the point !	요점을 말하자면 !
get to the point .	요점을 말하자면 .
give him a break !	그에게 휴식을 줘 !
give me a chance .	나에게 기회를 줘 .
give me a hammer .	나에게 망치를 줘 .
give me a minute .	잠시만 기다려 주세요 .
give me a reason .	이유를 말해봐 .
give me a second .	잠시만 기다려 주세요 .
give me my drink .	내 음료수 좀 줘 .
give me the ball .	나에게 공을 줘 .
give me the book .	나에게 책을 줘 .
give me the wine .	나에게 와인을 줘 .
give me your arm .	팔을 주세요 .
give me your gun .	총을 줘 .
give them to her .	그녀에게 줘 .
give them to him .	그에게 줘 .
give us a chance .	우리에게 기회를 주세요 .
give us a minute .	잠시만 기다려 주세요 .
give us a moment .	잠시만 기다려 주세요 .
give us a second .	잠시만 기다려 주세요 .
go back to sleep .	다시 자러 가세요 .
go have some fun .	가서 좀 즐겨보세요 .
go on without me .	나 없이 계속 가세요 .
go play with tom .	가서 톰이랑 놀아요 .
go to the barber .	이발소에 가세요 .
go up the stairs .	계단을 올라가세요 .
go when you want .	원할 때 가세요 .
go with the flow .	흐름과 함께 가십시오 .
good luck to you !	행운을 빕니다 !
grow up a little .	좀 자라 .
hand me a tissue .	나에게 티슈를 건네줘 .
hang on a minute .	잠깐만요 .
hang on a second .	잠깐만요 .
have a croissant .	크루아상을 드세요 .
have a good time .	즐거운 시간 보내세요 .
have a nice time .	즐거운 시간 보내세요 .
have a nice trip !	좋은 여행 되세요 !
have a nice trip .	좋은 여행 되세요 .
have a safe trip .	안전한 여행되세요 .
have some coffee .	커피 좀 마셔 .
have you decided ?	결정했어 ?
have you met her ?	그 사람 만났어 ?
have you ordered ?	주문했어요 ?
he ate all of it .	그는 그것을 다 먹었다 .
he became a hobo .	그는 호보가 되었습니다 .
he became famous .	그는 유명해졌습니다 .
he began running .	그는 달리기 시작했다 .
he began to sing .	그는 노래를 시작했다 .
he blew the deal .	그는 거래를 망쳤어요 .
he broke his arm .	그는 그의 팔을 부러뜨렸다 .
he broke the law .	그는 법을 어겼습니다 .
he can read well .	그는 글을 잘 읽을 수 있어요 .
he can swim fast .	그는 수영을 빨리 할 수 ​​있어요 .
he can swim well .	그는 수영을 잘해요 .
he can't do that .	그는 그렇게 할 수 없습니다 .
he can't read it .	그는 그것을 읽을 수 없습니다 .
he caught a cold .	그는 감기에 걸렸어요 .
he cheated on me .	그 사람은 나를 속였어 .
he cleaned it up .	그는 그것을 청소했다 .
he comes at noon .	그는 정오에 온다 .
he cried for joy .	그는 기뻐서 울었다 .
he died recently .	그는 최근에 사망했습니다 .
he died suddenly .	그는 갑자기 죽었다 .
he doesn't sleep .	그는 잠을 자지 않습니다 .
he eats too much .	그는 너무 많이 먹는다 .
he fed the horse .	그는 말에게 먹이를 주었다 .
he fell backward .	그는 뒤로 넘어졌다 .
he fixed the net .	그는 그물을 고쳤어요 .
he flew to paris .	그는 파리로 날아갔다 .
he found my bike .	그 사람이 내 자전거를 찾았어요 .
he gave a speech .	그는 연설을 했다 .
he gave it to me .	그는 나에게 그것을 주었다 .
he gave me a hug .	그는 나를 안아주었습니다 .
he gets up early .	그는 일찍 일어난다 .
he got a new job .	그는 새 직장을 얻었어요 .
he had few teeth .	그는 이빨이 거의 없었습니다 .
he had gray hair .	그는 회색 머리를 가지고 있었습니다 .
he had long hair .	그 사람은 머리가 길었어요 .
he has a picasso .	그 사람은 피카소를 갖고 있어요 .
he has a bicycle .	그 사람은 자전거를 가지고 있어요 .
he has been busy .	그는 바빴어요 .
he has big hands .	그는 손이 크다 .
he has long legs .	그 사람은 다리가 길어요 .
he has no choice .	그는 선택의 여지가 없습니다 .
he has no hat on .	그는 모자를 쓰지 않았습니다 .
he has the joker .	그 사람은 조커를 가지고 있어요 .
he hates carrots .	그는 당근을 싫어해요 .
he hates himself .	그는 자신을 싫어합니다 .
he hates running .	그는 달리기를 싫어한다 .
he hates spiders .	그는 거미를 싫어해요 .
he heard a noise .	그는 소음을 들었다 .
he heard a shout .	그는 비명소리를 들었다 .
he is a kind boy .	그는 친절한 소년이에요 .
he is an acrobat .	그는 곡예사 입니다 .
he is dead drunk .	그는 술에 취해 죽었습니다 .
he is distracted .	그는 주의가 산만해졌습니다 .
he is doing well .	그는 잘 지내요 .
he is her friend .	그는 그녀의 친구입니다 .
he is in pajamas .	그는 잠옷을 입고 있어요 .
he is in trouble .	그는 곤경에 빠졌습니다 .
he is just a kid .	그는 단지 어린아이일 뿐입니다 .
he is my brother .	그 사람은 내 동생이에요 .
he is my teacher .	그 분은 나의 선생님이에요 .
he is never lazy .	그는 결코 게으르지 않습니다 .
he is not stupid .	그는 바보가 아니다 .
he is photogenic .	그는 포토제닉하다 .
he is still here .	그는 아직 여기 있어요 .
he is very angry .	그는 매우 화가 났습니다 .
he is very brave .	그는 매우 용감해요 .
he is very young .	그는 아주 어리다 .
he is well-liked .	그는 좋은 사람이에요 .
he isn't at home .	그 사람은 집에 없어요 .
he isn't married .	그는 결혼하지 않았습니다 .
he isn't perfect .	그는 완벽하지 않습니다 .
he just got home .	그는 방금 집에 도착했습니다 .
he keeps a diary .	그는 일기를 쓴다 .
he kept his word .	그는 약속을 지켰다 .
he knows his job .	그는 자신의 직업을 알고 있습니다 .
he knows my wife .	그 사람은 내 아내를 알아요 .
he laughed at me .	그는 나를 비웃었다 .
he left after me .	그는 나를 따라 떠났다 .
he left his wife .	그는 그의 아내를 떠났다 .
he left just now .	그 사람은 지금 막 떠났어요 .
he likes animals .	그는 동물을 좋아해요 .
he likes fishing .	그는 낚시를 좋아해요 .
