go .	가다 .
i'm in love .	나는 사랑에 빠졌습니다 .
i'm in luck .	나는 운이 좋다 .
i'm jealous .	나는 질투한다 .
i'm jittery .	나는 불안하다 .
i'm kidding .	농담이에요 .
i'm leaving .	나는 떠난다 .
i'm married .	나는 결혼했어요 .
i'm nervous .	긴장돼요 .
i'm neutral .	나는 중립이다 .
i'm no fool .	난 바보가 아니야 .
i'm no hero .	나는 영웅이 아니다 .
i'm no liar .	나는 거짓말쟁이가 아니다 .
i'm not tom .	난 톰이 아니야 .
i'm not fat .	나는 뚱뚱하지 않아요 .
i'm not mad .	나 화 안 났어 .
i'm not old .	난 늙지 않았어 .
i'm not sad .	나는 슬프지 않다 .
i'm not shy .	난 부끄러워하지 않아요 .
i'm on duty .	나는 근무 중이야 .
i'm patient .	짜증난 .
i'm popular .	나는 인기가 있어요 .
i'm psyched .	나 정신이 이상해 .
i'm psychic .	나는 심령술사야 .
i'm puzzled .	나는 의아해한다 .
i'm reading .	나는 읽고 있어요 .
i'm relaxed .	나는 편안하다 .
i'm retired .	나는 은퇴했다 .
i'm selfish .	나는 이기적이다 .
i'm serious .	난 진심이야 .
i'm shocked .	나는 충격을 받았습니다 .
i'm sincere .	나는 진심이다 .
i'm sloshed .	나는 출렁거렸다 .
i'm smashed .	나는 박살났다 .
i'm so cold .	나 너무 추워 .
i'm so full .	너무 배불러요 .
i'm so glad .	정말 기뻐요 .
i'm starved .	나는 배고프다 .
i'm staying .	나는 머물고있다 .
i'm stuffed .	난 꽉 찼어 .
i'm stunned .	나는 깜짝 놀랐다 .
i'm talking .	나는 말하고있다 .
i'm teasing .	나는 놀리고있다 .
i'm thirsty .	나는 목이 마르다 .
i'm through .	난 끝났어 .
i'm too fat .	나는 너무 뚱뚱해요 .
i'm touched .	감동받았어 .
i'm trapped .	나는 갇혀있다 .
i'm unarmed .	나는 비무장이야 .
i'm unhappy .	나는 불행하다 .
i'm unlucky .	나는 운이 좋지 않다 .
i'm wealthy .	나는 부자입니다 .
i'm winning .	내가 이기고 있어요 .
i'm working .	나는 일하고 있어요 .
i'm worried .	걱정돼요 .
i've failed .	나는 실패했다 .
ignore them .	그들을 무시하십시오 .
is tom here ?	톰 여기 있어요 ?
is tom hurt ?	톰은 다쳤나요 ?
is tom lazy ?	톰은 게으르다 ?
is tom safe ?	톰은 안전해 ?
is tom sure ?	톰은 확실한가요 ?
is tom well ?	톰은 잘 지내 ?
is he right ?	그 사람 맞지 ?
is it clean ?	깨끗해요 ?
is it clear ?	분명해요 ?
is it dirty ?	더럽나요 ?
is it fatal ?	치명적인가요 ?
is it legal ?	그것은 합법적입니까 ?
is it ready ?	준비됐나요 ?
is it to go ?	가는 거야 ?
is it yours ?	그것은 당신 것입니까 ?
is she gone ?	그 사람 없어졌어 ?
is that tom ?	저 사람 톰이야 ?
is that all ?	그게 다야 ?
is that you ?	그게 당신이에요 ?
is this art ?	이게 예술이야 ?
it can't be !	그럴 리가 없어 !
it happened .	그것은 일어났습니다 .
it is foggy .	안개가 낀다 .
it may rain .	비가 올 수도 있습니다 .
it may snow .	눈이 올 수도 있습니다 .
it was fair .	그것은 공평했다 .
it was flat .	그것은 평평했다 .
it was hard .	힘들었다 .
it was long .	길었다 .
it'll break .	그것은 깨질 것이다 .
it's 50 yen .	50엔이에요 .
it's monday .	월요일이에요 .
it's a doll .	인형이에요 .
it's a fact .	그것은 사실이다 .
it's a fake .	그것은 가짜입니다 .
it's a rule .	그것은 규칙입니다 .
it's a scam .	그것은 사기입니다 .
it's a sign .	그것은 표시입니다 .
it's a song .	그것은 노래입니다 .
it's all ok .	다 괜찮아요 .
it's broken .	고장 났어요 .
it's cloudy .	날씨가 흐려요 .
it's ironic .	아이러니하다 .
it's locked .	잠겨 있어요 .
it's my job .	그건 내 일이야 .
it's no use .	그것은 소용이 없습니다 .
it's not us .	우리가 아니야 .
it's poison .	그것은 독이다 .
it's secret .	그것은 비밀입니다 .
it's silent .	조용해요 .
it's stupid .	그것은 바보입니다 .
it's urgent .	긴급해요 .
it's warmer .	더 따뜻해요 .
just say no .	그냥 안 된다고 하세요 .
keep trying .	계속 노력하세요 .
let me help .	제가 도와드리겠습니다 .
let me know .	알려줘요 .
let me talk .	얘기 좀 하자 .
let's begin .	시작하자 .
let's dance .	춤추자 .
let's do it !	해보자 !
let's do it .	해보자 .
let's drink .	마시자 .
let's hurry .	서두르자 .
let's party .	파티하자 .
let's split .	헤어지자 .
let's start !	시작하자 !
let's start .	시작하자 .
life is fun .	인생은 재미 있습니다 .
look around .	주위를 둘러보세요 .
lunch is on .	점심 시간입니다 .
make a list .	목록을 만드세요 .
make a wish .	소원을 빌다 .
many thanks .	많은 감사드립니다 .
may i begin ?	시작해도 될까요 ?
memorize it .	그것을 외워라 .
money talks .	돈 이야기 .
need a lift ?	리프트가 필요해 ?
nice timing .	좋은 타이밍 .
no means no .	아니오 는 아니오 를 의미 합니다 .
no one came .	아무도 안 왔어 .
no one died .	아무도 죽지 않았습니다 .
no one left .	아무도 남지 않았습니다 .
nobody came .	아무도 안 왔어 .
nobody died .	아무도 죽지 않았습니다 .
now i'm sad .	지금 나는 슬프다 .
now we wait .	이제 우리는 기다립니다 .
ok . i agree .	좋아요 . 나는 동의한다 .
oh , come on .	아, 어서 .
pick a card .	카드를 골라라 .
pick a date .	날짜를 선택하세요 .
plants grow .	식물이 자랍니다 .
please come .	꼭 와주세요 .
please sing .	노래해주세요 .
please stay .	머물러 주세요 .
please stop .	그만하세요 .
put it back .	다시 넣어 .
put it down .	그것을 내려 놓으십시오 .
release him .	그를 풀어줘 .
remember it .	그것을 기억하세요 .
say goodbye .	작별 인사를 하세요 .
send him in .	그를 안으로 보내세요 .
shall we go ?	우리 갈까 ?
she blushed .	그녀는 얼굴을 붉혔다 .
she fainted .	그녀는 기절했다 .
she hit him .	그녀는 그를 때렸다 .
she is curt .	그녀는 무뚝뚝해요 .
she is dead .	그녀는 죽었습니다 .
she is kind .	그녀는 친절해요 .
she is late .	그녀는 늦었어요 .
she woke up .	그녀는 일어났습니다 .
she's a dog .	그 사람은 개야 .
she's a fox .	그 사람은 여우야 .
should i go ?	내가 가야 하나 ?
sleep tight .	푹 자요 .
stand aside .	옆으로 서라 .
stand still !	가만히 있어 !
stay in bed .	침대에 누워있어 .
stay inside .	안에있어 .
step inside .	안으로 들어가세요 .
stop crying .	그만 울어 .
stop trying .	그만해 .
take a bath .	목욕하다 .
take a bite .	한 입 먹어라 .
take a bite .	한 입 먹어라 .
take a card .	카드를 받아라 .
take a look .	보세요 .
take a rest .	휴식을 취하세요 .
take a seat .	자리에 앉으세요 .
take a walk .	산책하다 .
take it all .	다 가져가라 .
that helped .	그게 도움이 됐어요 .
that is all .	그게 전부입니다 .
that worked .	그게 효과가 있었어 .
that's cool .	그거 멋지다 .
that's easy .	그건 쉽습니다 .
that's free .	그것은 무료입니다 .
that's hard .	그건 어렵다 .
that's hers .	그건 그녀 거야 .
that's icky .	그거 이상해 .
that's lame .	그건 형편없어 .
that's mine .	그건 내 꺼야 .
that's true .	그건 사실이야 .
that's ugly .	그거 못생겼어 .
that's wise .	그게 현명해요 .
the tv's on .	TV가 켜져 있어요 .
there he is .	저기 그가 있어요 .
there it is .	거기 있어요 .
they burned .	그들은 불탔다 .
they got it .	그들은 그것을 얻었습니다 .
they hugged .	그들은 포옹했다 .
they kissed .	그들은 키스했다 .
they obeyed .	그들은 순종했습니다 .
they smiled .	그들은 미소 지었다 .
they're bad .	그들은 나쁘다 .
they're old .	그들은 늙었어요 .
this is bad .	이건 나쁘다 .
this is big .	이건 크다 .
this is fun .	이것은 재미있다 .
this is his .	이것은 그의 것입니다 .
this is new .	이것은 새로운 것입니다 .
this is odd .	이건 이상해요 .
this stinks .	이거 냄새나는데 .
tom blinked .	톰은 눈을 깜박였다 .
tom changed .	톰이 바뀌었어요 .
tom coughed .	톰이 기침을 했어요 .
tom drowned .	톰이 익사했어요 .
tom inhaled .	톰이 흡입했다 .
tom is bald .	톰은 대머리야 .
tom is dead .	톰은 죽었어 .
tom is lazy .	톰은 게으르다 .
tom is nuts .	톰은 미쳤어 .
tom is rude .	톰은 무례해요 .
tom is sexy .	톰은 섹시해요 .
tom is slow .	톰은 느려요 .
tom is tall .	톰은 키가 커요 .
tom is weak .	톰은 약해요 .
tom is wise .	톰은 현명해요 .
tom laughed .	톰은 웃었다 .
tom left me .	톰이 나를 떠났어요 .
tom listens .	톰은 듣는다 .
tom refused .	톰은 거절했어요 .
tom said hi .	톰이 안녕이라고 했어요 .
tom said no .	톰은 안 된다고 했어요 .
tom sweated .	톰은 땀을 흘렸다 .
tom took it .	톰이 그걸 가져갔어 .
tom'll call .	톰이 전화할게 .
tom'll come .	톰이 올 거야 .
tom'll quit .	톰은 그만둘 거야 .
tom's alive .	톰은 살아 있어요 .
tom's alone .	톰은 혼자예요 .
tom's angry .	톰이 화가 났어요 .
tom's awake .	톰이 일어났어요 .
tom's bored .	톰은 지루해요 .
tom's crazy .	톰은 미쳤어 .
tom's drunk .	톰이 취했어요 .
tom's dying .	톰이 죽어가고 있어 .
tom's funny .	톰 재밌어 .
tom's lucky .	톰은 운이 좋다 .
tom's lying .	톰이 거짓말을 하고 있어요 .
tom's sorry .	톰 미안해요 .
tom's wrong .	톰이 틀렸어 .
try to rest .	휴식을 취하십시오 .
turn around .	돌아서 .
turn it off .	꺼 줘 .
wait for us .	우리를 기다려주세요 .
wake tom up .	톰 일어나요 .
walk slowly .	천천히 걸어요 .
war is evil .	전쟁은 사악합니다 .
war is hell .	전쟁은 지옥이다 .
was i wrong ?	내가 틀렸어 ?
was it good ?	좋았어 ?
we all know .	우리 모두는 알고 있습니다 .
we all quit .	우리 모두 그만뒀어요 .
we all work .	우리 모두는 일합니다 .
we are boys .	우리는 소년입니다 .
we are even .	우리는 짝수입니다 .
we are here .	우리는 여기에 있습니다 .
we are late .	우리는 늦었어요 .
we broke up .	우리는 헤어졌다 .
we can meet .	우리는 만날 수 있어요 .
we can talk .	우리는 얘기할 수 있어요 .
we can wait .	우리는 기다릴 수 있습니다 .
we can't go .	우리는 갈 수 없어 .
we did fine .	우리는 잘 했어요 .
we did that .	우리가 그랬어요 .
we found it .	우리는 그것을 찾았습니다 .
we know him .	우리는 그를 알고 있습니다 .
we like tom .	우리는 톰을 좋아해요 .
we like him .	우리는 그를 좋아해요 .
we miss you .	우리는 당신이 그리워요 .
we must act .	우리는 행동해야 합니다 .
we must run .	우리는 달려야 해 .
we must try .	우리는 시도해야합니다 .
we need tom .	우리에겐 톰이 필요해요 .
we need you .	우리는 당신이 필요합니다 .
we promised .	우리는 약속했다 .
we remember .	우리는 기억합니다 .
we survived !	우리는 살아 남았습니다 !
we survived .	우리는 살아 남았습니다 .
we want tom .	우리는 톰을 원해요 .
we want one .	우리는 하나를 원해요 .
we'll check .	확인해 보겠습니다 .
we'll dance .	우리는 춤을 출 것이다 .
we'll drive .	우리는 운전할 것이다 .
we'll fight .	우리는 싸울 것이다 .
we'll hurry .	서두르겠습니다 .
we'll share .	우리는 공유할 것입니다 .
we'll shoot .	우리는 쏠거야 .
we'll stand .	우리는 설 것이다 .
we'll start .	시작하겠습니다 .
we're alone .	우리는 혼자입니다 .
we're angry .	우리는 화가 났습니다 .
we're armed .	우리는 무장했습니다 .
we're bored .	우리는 지루해요 .
we're broke .	우리는 파산했습니다 .
we're dying .	우리는 죽어가고 있어요 .
we're early .	우리는 일찍이야 .
we're going .	우리는 갈거야 .
we're happy .	우리는 행복해요 .
we're ready .	우리는 준비됐다 .
we're saved .	우리는 구원받았습니다 .
we're smart .	우리는 똑똑해요 .
we're sorry .	죄송해요 .
we're stuck .	우리는 붙어있다 .
we're tired .	우리는 피곤해요 .
we're twins .	우리는 쌍둥이예요 .
what a bore !	정말 지루해 !
what a dope !	정말 대단해요 !
what a drag !	정말 드래그 !
what a dump .	정말 쓰레기 야 .
what a heel !	정말 발 뒤꿈치 !
what a jerk !	정말 바보야 !
what a joke !	정말 농담이에요 !
what a loss !	정말 손실이에요 !
what a mess !	정말 엉망이야 !
what a pain !	정말 고통 스럽습니다 !
what a pity !	정말 안타깝습니다 !
what a team !	정말 멋진 팀이에요 !
what is art ?	예술이란 무엇입니까 ?
what was it ?	그게 뭐였지 ?
what'd i do ?	내가 뭘 했지 ?
what's that ?	그게 뭐야 ?
what's this ?	이건 뭐야 ?
where is he ?	그 사람은 어디 있어 ?
where is it ?	어디야 ?
where was i ?	내가 어디 있었어 ?
where's tom ?	톰은 어디 있어 ?
who are you ?	누구세요 ?
who cheated ?	누가 속였어 ?
who drew it ?	누가 그렸나요 ?
who escaped ?	누가 탈출했나요 ?
who is next ?	다음은 누구야 ?
who's going ?	누가 가 ?
who's there ?	거기 누구야 ?
whose is it ?	누구야 ?
will it fit ?	맞을거야 ?
will you go ?	갈 거야 ?
work slowly .	천천히 일해라 .
you are big .	당신은 크다 .
you are mad .	당신은 미쳤어요 .
you cheated .	당신은 속였습니다 .
you fainted .	당신은 기절했습니다 .
you hurt me .	당신은 나에게 상처를 입혔습니다 .
you may sit .	앉을 수도 있어요 .
you must go .	당신은 가야 해요 .
you woke me .	당신이 나를 깨웠어요 .
you're back .	당신은 돌아왔다 .
you're cool .	당신은 멋지다 .
you're fair .	당신은 공평해요 .
you're fine .	당신은 괜찮아요 .
you're free .	당신은 무료입니다 .
you're good .	당신은 괜찮아요 .
you're kind .	당신은 친절해요 .
you're late .	당신은 늦었어요 .
you're lazy .	당신은 게으르다 .
you're lost .	당신은 길을 잃었습니다 .
you're nice .	당신은 착해요 .
you're nuts !	너 미쳤어 !
you're rich .	당신은 부자입니다 .
you're rude .	당신은 무례해요 .
you're safe .	당신은 안전해요 .
you're sick !	너 아프다 !
you're thin .	당신은 말랐어요 .
you're weak .	당신은 약해요 .
you're wise .	당신은 현명합니다 .
a car cut in .	차가 끼어들었다 .
abandon ship !	배를 버려라 !
act your age .	나이대로 행동하세요 .
all is quiet .	모두 조용해요 .
all is still .	모두 아직 입니다 .
am i correct ?	내 말이 맞나요 ?
am i in love ?	내가 사랑에 빠졌나요 ?
anybody here ?	여기 누구 없어요 ?
anybody home ?	집에 누구 없나요 ?
anybody hurt ?	다친 사람 없어 ?
anything new ?	새로운 건 없어 ?
are they new ?	그거 새로운 거야 ?
are we alone ?	우리 혼자야 ?
are we broke ?	우리 망했어 ?
are we ready ?	우리 준비 됐어 ?
are you bald ?	너 대머리니 ?
are you busy ?	바쁘세요 ?
are you deaf ?	당신은 귀머거리입니까 ?
are you home ?	집에 있어요 ?
are you hurt ?	다쳤어요 ?
are you lost ?	길을 잃었나요 ?
are you sick ?	너 아프니 ?
are you sure ?	확실해요 ?
be attentive .	주의를 기울이십시오 .
be confident .	자신감을 가져라 .
be realistic !	현실적이 되어라 !
beef , please .	쇠고기 주세요 .
bring a date .	데이트를 가져오세요 .
bring him in .	그를 데려오세요 .
call me back .	나에게 다시 전화해 주세요 .
can i finish ?	내가 끝낼 수 있을까 ?
can i go now ?	나 지금 가도 돼 ?
can i go now ?	지금 가도 되나요 ?
can i try it ?	내가 시도해봐도 될까 ?
can we leave ?	우리 떠날 수 있을까 ?
can we start ?	우리 시작해도 돼 ?
can you come ?	올 수 있어 ?
can you stay ?	머물 수 있나요 ?
can you swim ?	수영할 수 있어요 ?
can you walk ?	걸을 수 있어 ?
check it out !	확인해 보세요 !
come at once .	즉시 와라 .
come back in .	다시 들어와 .
come help me .	와서 도와주세요 .
come in , tom .	들어와, 톰 .
come join us .	와서 우리와 함께 하세요 .
come outside .	밖으로 나오세요 .
come quickly !	빨리와 !
come quickly .	빨리 와 .
come up here .	여기로 올라오세요 .
come with me .	나와 함께 가자 .
come with us .	우리와 함께 가자 .
cool it down .	진정해 .
could we sit ?	우리 앉을 수 있을까 ?
cover for me .	나를 위해 커버 .
cut that out !	그거 잘라 !
did tom call ?	톰이 전화했어 ?
did tom fall ?	톰이 넘어졌나요 ?
did tom sing ?	톰이 노래를 불렀나요 ?
did tom stay ?	톰은 머물렀나요 ?
did tom swim ?	톰은 수영했어요 ?
did you call ?	전화했어 ?
did you sign ?	서명했어요 ?
did you vote ?	투표했니 ?
do i look ok ?	나 괜찮아 보여 ?
do you agree ?	동의하시나요 ?
do you drink ?	당신은 술을 마십니까 ?
do you smoke ?	담배를 피우나요 ?
do you teach ?	당신은 가르치나요 ?
do your best !	최선을 다해 !
do your best .	최선을 다하세요 .
do your duty .	당신의 의무를 다하십시오 .
does it hurt ?	아파요 ?
does it work ?	작동합니까 ?
don't ask me .	나에게 묻지 마세요 .
don't be mad .	화내지 마세요 .
don't be sad .	슬퍼하지 마세요 .
don't be shy .	부끄러워하지 마세요 .
don't bother .	귀찮게하지 마십시오 .
don't forget .	잊지 마세요 .
don't get up .	일어나지 마세요 .
don't kid me !	놀리지 마세요 !
don't litter !	쓰레기를 버리지 마세요 !
don't ramble .	방황하지 마십시오 .
don't resist .	저항하지 마십시오 .
drive safely .	안전운전하세요 .
drive slowly .	천천히 운전하세요 .
drop the gun .	총을 버려라 .
easy does it .	쉽습니다 .
find the cat .	고양이를 찾아보세요 .
fish , please .	물고기 주세요 .
get a doctor .	의사를 만나다
get my rifle .	내 소총 가져와 .
ghosts exist .	유령은 존재한다 .
give me half .	나에게 반을 줘 .
go for broke !	파산하러 가세요 !
go to school .	학교에 가다 .
good evening .	좋은 저녁이에요 .
good for you .	당신에게 좋습니다 .
good morning .	좋은 아침이에요 .
grab a spoon .	숟가락을 잡아라 .
grab my hand .	내 손을 잡아 .
hand it over .	넘겨주세요 .
have a donut .	도넛을 먹어라 .
have a drink .	마셔 라 .
have a snack .	간식을 먹어라 .
have a taste .	맛 좀 보세요 .
have another .	또 다른 .
he avoids me .	그는 나를 피한다 .
he could die .	그는 죽을 수도 있다 .
he denied it .	그는 그것을 부인했다 .
he dozed off .	그는 졸았다 .
he dumped me .	그 사람이 나를 버렸어요 .
he got angry .	그는 화를 냈습니다 .
he had a dog .	그는 개를 키웠어요 .
he has a car .	그 사람은 차를 갖고 있어요 .
he has money .	그 사람은 돈이 있어요 .
he helps her .	그는 그녀를 도와줍니다 .
he is a poet .	그는 시인이다 .
he is asleep .	그는 자고 있어요 .
he is cranky .	그는 까다로워요 .
he is eating .	그는 먹고 있어요 .
he is heroic .	그는 영웅적이다 .
he is not in .	그는 에 없습니다 .
he just left .	그는 방금 떠났어요 .
he kicked it .	그는 그것을 찼다 .
he let me go .	그는 나를 놓아주었다 .
he let us go .	그는 우리를 보내주었다 .
he likes tea .	그는 차를 좋아해요 .
he lost face .	그는 체면을 잃었다 .
he loves her .	그는 그녀를 사랑합니다 .
he mocked me .	그는 나를 조롱했습니다 .
he needs you .	그 사람은 당신이 필요해요 .
he shall die .	그는 죽을 것이다 .
he wants one .	그는 하나를 원해요 .
he was alone .	그는 혼자였습니다 .
he was brave .	그는 용감했습니다 .
he was great .	그는 훌륭했어요 .
he was lucky .	그는 운이 좋았습니다 .
he was naive .	그는 순진했어요 .
he was wrong .	그는 틀렸다 .
he will come .	그는 올 것이다 .
he will wait .	그는 기다릴 것이다 .
he's a bigot .	그 사람은 편협한 사람이야 .
he's in pain .	그는 고통스러워요 .
he's married .	그 사람은 결혼했어요 .
he's my hero .	그는 나의 영웅이야 .
he's out now .	그는 지금 밖에 있어요 .
he's so cute .	그는 너무 귀여워요 .
hello , girls .	안녕, 얘들아 .
here's a pen .	여기 펜이 있어요 .
hey , wait up !	안녕, 기다려 !
hold my hand .	내 손을 잡아요 .
how annoying !	정말 짜증나 !
how dare you !	어떻게 감히 !
how did i do ?	내가 어떻게 했어 ?
how horrible !	얼마나 끔찍한가 !
how romantic !	얼마나 낭만적입니까 !
how's school ?	학교는 어때 ?
i admire you .	나는 당신을 존경합니다 .
i always win .	나는 항상 승리한다 .
i am ashamed .	부끄러워요 .
i am at home .	나 집에 있어 .
i am curious .	나는 궁금하다 .
i am married .	나는 결혼했어요 .
i am so sick .	나 너무 아파요 .
i am thirsty .	나는 목이 마르다 .
i am working .	나는 일하고 있어요 .
i apologized .	나는 사과했다 .
i ate apples .	나는 사과를 먹었다 .
i ate caviar .	나는 캐비어를 먹었다 .
i believe it .	나는 그것을 믿는다 .
i called him .	내가 그 사람에게 전화했어요 .
i called you .	내가 너한테 전화했어 .
i can fix it .	내가 고칠 수 있어요 .
i can manage .	내가 관리할 수 있어요 .
i can't help .	나는 도울 수 없다 .
i can't move .	나는 움직일 수 없다 .
i can't sing .	나는 노래를 할 수 없습니다 .
i can't swim .	나는 수영을 할 수 없습니다 .
i can't wait .	나는 기다릴 수 없다 .
i caught tom .	내가 톰을 잡았어요 .
i could help .	내가 도와줄 수 있어요 .
i could walk .	나는 걸을 수 있었다 .
i cried , too .	나도 울었어요 .
i cry easily .	나는 쉽게 울어요 .
i cut myself .	나는 나 자신을 자른다 .
i deserve it .	난 그럴 자격이 있어 .
i did my job .	나는 내 일을 했다 .
i did see it .	나는 그것을 보았다 .
i didn't ask .	나는 묻지 않았다 .
i didn't cry .	나는 울지 않았다 .
i didn't pay .	나는 지불하지 않았다 .
i didn't win .	나는 이기지 못했다 .
i don't bite .	나는 물지 않는다 .
i don't care .	난 상관 없어 .
i don't date .	난 데이트 안 해 .
i don't know .	모르겠습니다 .
i don't mind .	난 상관 없어 .
i don't read .	나는 읽지 않는다 .
i doubt that .	나는 그것을 의심한다 .
i drank milk .	나는 우유를 마셨다 .
i drink beer .	나는 맥주를 마신다 .
i enjoyed it .	나는 그것을 즐겼다 .
i feel alive .	나는 살아있음을 느낀다 .
i feel awful .	기분이 나빠요 .
i feel dizzy .	어지러워요 .
i feel faint .	기분이 나빠요 .
i feel funny .	기분이 이상해요 .
i feel giddy .	현기증이 나네요 .
i feel happy .	나는 행복하다고 느낀다 .
i feel lucky .	나는 행운을 느낀다 .
i feel ready .	난 준비가 된 것 같아 .
i feel silly .	나는 바보 같은 느낌이 든다 .
i feel young .	나는 젊다고 느낀다 .
i felt awful .	나는 끔찍하다고 느꼈다 .
i felt great .	기분이 좋았어요 .
i felt happy .	나는 행복하다고 느꼈다 .
i felt naked .	나는 벌거벗은 기분이 들었다 .
i felt safer .	나는 더 안전하다고 느꼈다 .
i go jogging .	나는 조깅하러 간다 .
i go to work .	나는 일하러 간다 .
i got carded .	나 카드 받았어 .
i got caught .	나는 잡혔다 .
i got dumped .	나 버림받았어 .
i got sleepy .	나 졸렸어 .
i got soaked .	흠뻑 젖었어요 .
i got the ax .	나는 도끼를 얻었다 .
i had doubts .	나는 의심했다 .
i handled it .	내가 처리했어 .
i hate beans .	나는 콩을 싫어한다 .
i hate flies .	나는 파리를 싫어한다 .
i hate liars .	나는 거짓말쟁이를 싫어해요 .
i have a car .	나에겐 차가 있어요 .
i have a cat .	나에겐 고양이가 있어요 .
i have a dog .	나에겐 개가 있어요 .
i have a gun .	나에겐 총이 있어요 .
i have a job .	나는 직업이 있어요 .
i have a key .	나한테 열쇠가 있어요 .
i have a kid .	나에겐 아이가 있어요 .
i have a pen .	나에겐 펜이 있어요 .
i have hives .	나는 두드러기가 있어요 .
i have money .	나에겐 돈이 있어요 .
i have needs .	나에게는 필요한 것이 있습니다 .
i have plans .	나에겐 계획이 있어요 .
i have proof .	나에겐 증거가 있어요 .
i have to go .	나는 가야 해요 .
i hear music .	나는 음악을 듣는다 .
i heard that .	나는 그것을 들었다 .
i helped tom .	내가 톰을 도왔어 .
i helped out .	내가 도와줬어 .
i honor that .	나는 그것을 존중합니다 .
i hugged her .	나는 그녀를 안아주었다 .
i improvised .	나는 즉석에서 .
i just moved .	방금 이사했어요 .
i keep a dog .	나는 개를 키운다 .
i kissed tom .	나 톰한테 키스했어 .
i know a way .	나는 방법을 알아요 .
i like china .	나는 중국을 좋아한다 .
i like r & b .	나는 R&B를 좋아해요 .
i like bread .	나는 빵을 좋아해요 .
i like chess .	나는 체스를 좋아해요 .
i like fruit .	나는 과일을 좋아해요 .
i like girls .	나는 여자를 좋아해요 .
i like honey .	나는 꿀을 좋아한다 .
i like music .	나는 음악을 좋아해요 .
i like opera .	나는 오페라를 좋아해요 .
i like sugar .	나는 설탕을 좋아해요 .
i like sushi .	나는 초밥을 좋아해요 .
i like these .	나는 이것들을 좋아한다 .
i like women .	나는 여자를 좋아해요 .
i liked that .	나는 그것을 좋아했다 .
i lost a bet .	나는 내기를 잃었다 .
i love books .	나는 책을 좋아해요 .
i love bread .	나는 빵을 좋아해요 .
i love games .	나는 게임을 좋아해요 .
i love jokes .	나는 농담을 좋아해요 .
i love music .	나는 음악을 좋아해요 .
i love trips .	나는 여행을 좋아해요 .
i loved that .	나는 그것을 좋아했다 .
i made a bet .	나는 내기를 했다 .
i made plans .	나는 계획을 세웠다 .
i made these .	내가 이걸 만들었어 .
i might stay .	난 남을지도 몰라 .
i missed you .	나는 당신을 그리워했다 .
i must hurry .	서둘러야 해요 .
i must leave .	나는 떠나야 해요 .
i must study .	나는 공부해야 해 .
i need a bag .	가방이 필요해요 .
i need a cab .	택시가 필요해요 .
i need a car .	나는 차가 필요해요 .
i need a hug .	포옹이 필요해요 .
i need a job .	나는 직업이 필요해요 .
i need a map .	지도가 필요해요 .
i need a pen .	펜이 필요해요 .
i need money .	나는 돈이 필요해요 .
i need paint .	페인트가 필요해 .
i need proof .	증거가 필요해 .
i need sleep .	잠이 필요해 .
i need space .	나에겐 공간이 필요해요 .
i need sugar .	설탕이 필요해 .
i need to go .	나 가야 해 .
i need water .	물이 필요해 .
i never lose .	나는 결코 잃지 않는다 .
i often read .	나는 자주 읽는다 .
i phoned him .	내가 그 사람에게 전화했어요 .
i play piano .	나는 피아노를 친다 .
i read books .	나는 책을 읽는다 .
i rewrote it .	나는 그것을 다시 썼다 .
i said maybe .	나는 아마도…
i see a book .	나는 책을 본다 .
i see a lion .	나는 사자를 본다 .
i see a rose .	나는 장미를 본다 .
i see a star .	나는 별을 본다 .
i sell shoes .	나는 신발을 팔아요 .
i started it .	내가 시작했어 .
i still care .	난 아직도 신경쓰인다 .
i suppose so .	내 생각엔 그럴 것 같아 .
i swim a lot .	나는 수영을 많이 해요 .
i sympathize .	나는 공감한다 .
i teach here .	나는 여기서 가르친다 .
i thought so .	나는 그렇게 생각했다 .
i took a nap .	나는 낮잠을 잤다 .
i took risks .	나는 위험을 감수했다 .
i tried hard .	나는 열심히 노력했다 .
i tried that .	나는 그것을 시도했다 .
i understand .	이해합니다 .
i understood .	나는 이해했다 .
i want a job .	나는 직업을 원해요 .
i want a lot .	나는 많은 것을 원한다 .
i want facts .	나는 사실을 원해요 .
i want proof .	나는 증거를 원해요 .
i want these .	나는 이것을 원해요 .
i want to go .	나는 가고 싶다 .
i was asleep .	나는 자고 있었다 .
i was beaten .	나는 구타당했습니다 .
i was burned .	나는 화상을 입었다 .
i was canned .	나는 통조림을 받았습니다 .
i was framed .	나는 액자에 걸렸다 .
i was lonely .	나는 외로웠다 .
i was shaken .	나는 흔들렸다 .
i was sleepy .	나는 졸렸다 .
i was stupid .	나는 바보였다 .
i was warned .	나는 경고를 받았습니다 .
i weighed it .	나는 그것의 무게를 쟀다 .
i went twice .	나는 두 번 갔다 .
i will fight .	나는 싸울 것이다 .
i will learn .	나는 배울 것이다 .
i will shoot .	내가 쏠게 .
i won't come .	나는 오지 않을 것이다 .
i wonder who .	나는 누구인지 궁금하다 .
i wonder why .	왜인지 궁금해요 .
i work alone .	나는 혼자 일해요 .
i wrote that .	나는 그것을 썼다 .
i'd buy that .	나는 그것을 살 것이다 .
i'll ask him .	내가 그에게 물어볼게 .
i'll be back .	나는 돌아올 것이다 .
i'll be fine .	난 괜찮을 거야 .
i'll be free .	나는 자유로울 것이다 .
i'll be late .	나는 늦을 것이다 .
