go .	行く 。
i sell cars .	車を販売しています 。
i should go .	行かなければなりません 。
i smell gas .	ガスの匂いがする 。
i struggled .	苦労しました 。
i succeeded .	成功しました 。
i surrender .	私は降伏します 。
i thank you .	ありがとうございます 。
i trust her .	私は彼女を信頼しています 。
i trust him .	私は彼を信頼しています 。
i trust you .	私はあなたを信頼します 。
i waited up .	私は待っていました 。
i want mary .	メアリーが欲しいです 。
i want cash .	現金が欲しいです 。
i want eggs .	卵が欲しいです 。
i want kids .	子供が欲しいです 。
i want mine .	私は私のものが欲しいです 。
i want more .	もっと欲しいです 。
i want soup .	スープが欲しいです 。
i want that .	それが欲しいです 。
i want them .	欲しいです 。
i want this .	これが欲しいです 。
i want time .	時間が欲しいです 。
i was alone .	私は一人でした 。
i was bored .	私は退屈していました 。
i was broke .	私は壊れてしまいました 。
i was dizzy .	めまいがした 。
i was drunk .	酔っていました 。
i was fired .	私は解雇されました 。
i was hired .	私は雇われました 。
i was lucky .	幸運でした 。
i was moved .	感動しました 。
i was naive .	私は世間知らずでした 。
i was ready .	準備はできていました 。
i was sober .	私はしらふでした 。
i was sorry .	申し訳ありませんでした 。
i was there .	私はそこにいた 。
i was third .	私は3番目でした 。
i was tired .	疲れていました 。
i was wrong .	私は間違っていた 。
i washed it .	洗いました 。
i went home .	家に帰りました 。
i went , too .	私も行きました 。
i will come .	行きます 。
i will help .	私がお手伝いします 。
i will obey .	私は従います 。
i will wait .	待ちます 。
i will walk .	歩きます 。
i will work .	私は働きます 。
i won again .	また勝ったよ 。
i won't cry .	私は泣きません 。
i work here .	私はここで働いています 。
i'll attend .	私は出席します 。
i'll buy it .	買います 。
i'll cancel .	キャンセルさせていただきます 。
i'll change .	変更します 。
i'll decide .	私が決めます 。
i'll get in .	入ります 。
i'll get it .	わかります 。
i'll get up .	起きます 。
i'll go now .	今行きます 。
i'll go see .	見に行きます 。
i'll manage .	私が管理します 。
i'll scream .	私は叫びます 。
i'll try it .	試してみます 。
i'm 17 , too .	私も17歳です 。
i'm a baker .	私はパン屋です 。
i'm a child .	私は子供です 。
i'm a medic .	私は医師です 。
i'm all set .	準備は完了です 。
i'm ashamed .	恥ずかしいです 。
i'm at home .	私は家にいます 。
i'm at work .	私は仕事中です 。
i'm baffled .	困惑しています 。
i'm blessed .	私は恵まれています 。
i'm careful .	気をつけています 。
i'm certain .	確かに 。
i'm chicken .	私はチキンです 。
i'm cooking .	私は料理をしています 。
i'm correct .	私は正しいです 。
i'm curious .	興味があります 。
i'm dancing .	私は踊っています 。
i'm dieting .	ダイエット中です 。
i'm driving .	私は運転しています 。
i'm engaged .	私は婚約しています 。
i'm excited .	私は興奮しています 。
i'm falling .	私は落ちています 。
i'm fasting .	私は断食中です 。
i'm finicky .	私は気難しいんです 。
i'm frantic .	私は必死です 。
i'm furious .	私は激怒しています 。
i'm healthy .	私は健康です 。
i'm humming .	鼻歌を歌っています 。
i'm in love .	私は恋している 。
i'm in luck .	私は幸運です 。
i'm jealous .	私は嫉妬しています 。
i'm jittery .	私はイライラしています 。
i'm kidding .	冗談です 。
i'm leaving .	私は行きます 。
i'm married .	私は結婚しています 。
i'm nervous .	緊張しています 。
i'm neutral .	私は中立です 。
i'm no fool .	私は愚か者ではありません 。
i'm no hero .	私はヒーローではありません 。
i'm no liar .	私は嘘つきではありません 。
i'm not tom .	私はトムではありません 。
i'm not fat .	私は太っていません 。
i'm not mad .	私は怒っていません 。
i'm not old .	私は年を取っていません 。
i'm not sad .	悲しくないよ 。
i'm not shy .	私は恥ずかしがりません 。
i'm on duty .	私は勤務中です 。
i'm patient .	せっかち 。
i'm popular .	私は人気者です 。
i'm psyched .	興奮しています 。
i'm psychic .	私は超能力者です 。
i'm puzzled .	困惑しています 。
i'm reading .	を読んでいます 。
i'm relaxed .	リラックスしてます 。
i'm retired .	私は退職しました 。
i'm retired .	i'm retired .
i'm selfish .	私は利己的です 。
i'm serious .	私は真剣です 。
i'm shocked .	ショックです 。
i'm sincere .	私は誠実です 。
i'm sloshed .	私はスロッシュです 。
i'm smashed .	私は打ちのめされました 。
i'm so cold .	とても寒いです 。
i'm so full .	とてもお腹がいっぱいです 。
i'm so glad .	とても嬉しいです 。
i'm starved .	私は飢えています 。
i'm staying .	私はここにいます 。
i'm stuffed .	もうお腹パンパン 。
i'm stunned .	びっくりしました 。
i'm talking .	私は話しています 。
i'm teasing .	からかっている 。
i'm thirsty .	喉が渇いた 。
i'm through .	私は終わった 。
i'm too fat .	私は太りすぎます 。
i'm touched .	感動しました 。
i'm trapped .	閉じ込められてしまった 。
i'm unarmed .	私は武装していない 。
i'm unhappy .	私は不幸です 。
i'm unlucky .	私は不運です 。
i'm wealthy .	私は裕福です 。
i'm winning .	私は勝っています 。
i'm working .	私は働いています 。
i'm worried .	心配です 。
i've failed .	失敗しました 。
ignore them .	無視してください 。
is tom here ?	トムはここにいますか ？
is tom hurt ?	トムは怪我をしていますか ？
is tom lazy ?	トムは怠け者ですか ？
is tom safe ?	トムは安全ですか ？
is tom sure ?	トムは確かですか ？
is tom well ?	トムは元気ですか ？
is he right ?	彼は正しいですか ？
is it clean ?	きれいですか ？
is it clear ?	明らかですか ？
is it dirty ?	汚れていますか ？
is it fatal ?	それは致命的ですか ？
is it legal ?	それは合法ですか ？
is it ready ?	準備はできていますか ？
is it to go ?	行くことですか ？
is it yours ?	それはあなたのものですか ？
is she gone ?	彼女はいなくなったのですか ？
is that tom ?	それはトムですか ？
is that all ?	それだけですか ？
is that you ?	あなたなの ？
is this art ?	is this art ?
it can't be !	それはありえない ！
it happened .	それは起こりました 。
it is foggy .	霧がかかっています 。
it may rain .	雨が降るかもしれません 。
it may snow .	雪が降るかもしれません 。
it was fair .	それは公平でした 。
it was flat .	平らでした 。
it was hard .	大変でした 。
it was long .	長かったです 。
it'll break .	壊れてしまいます 。
it's 50 yen .	50円です 。
it's monday .	月曜日です 。
it's a doll .	それは人形です 。
it's a fact .	それは事実です 。
it's a fake .	それは偽物です 。
it's a rule .	それはルールです 。
it's a scam .	それは詐欺です 。
it's a sign .	それはサインです 。
it's a song .	それは歌です 。
it's all ok .	大丈夫です 。
it's broken .	壊れています 。
it's cloudy .	曇りです 。
it's ironic .	皮肉なことだ 。
it's locked .	ロックされています 。
it's my job .	それは私の仕事です 。
it's no use .	それは役に立たない 。
it's not us .	それは私たちではありません 。
it's poison .	それは毒だ 。
it's secret .	それは秘密です 。
it's silent .	静かだ 。
it's stupid .	それは愚かです 。
it's urgent .	緊急です 。
it's warmer .	暖かくなりました 。
just say no .	ただノーと言ってください 。
keep trying .	試し続けてください 。
let me help .	お手伝いさせてください 。
let me know .	お知らせ下さい 。
let me talk .	話しましょう 。
let's begin .	始めましょう 。
let's dance .	踊りましょう 。
let's do it !	やりましょう ！
let's do it .	やりましょう 。
let's drink .	飲みましょう 。
let's hurry .	急ぎましょう 。
let's party .	パーティーをしましょう 。
let's split .	分割しましょう 。
let's start !	始めましょう ！
let's start .	始めましょう 。
life is fun .	人生は楽しいです 。
look around .	周りを見回してください 。
lunch is on .	昼食はあります 。
make a list .	リストを作成します 。
make a wish .	願い事をする 。
many thanks .	どうもありがとうございました 。
may i begin ?	始めてもいいですか ？
memorize it .	それを覚えておいてください 。
money talks .	お金の話 。
need a lift ?	エレベーターが必要ですか ？
nice timing .	ナイスタイミング 。
no means no .	no は「いいえ」を意味します 。
no one came .	誰も来なかった 。
no one died .	誰も死ななかった 。
no one left .	誰も残らなかった 。
nobody came .	誰も来なかった 。
nobody died .	誰も死ななかった 。
now i'm sad .	今は悲しいです 。
now we wait .	今は待ちます 。
ok . i agree .	わかりました 。同意します 。
oh , come on .	ああ、さあ 。
pick a card .	カードを選びます 。
pick a date .	日付を選択してください 。
plants grow .	植物が育ちます 。
please come .	来てください 。
please sing .	歌ってください 。
please stay .	滞在してください 。
please stop .	やめてください 。
put it back .	元に戻してください 。
put it down .	置いてください 。
release him .	彼を解放してください 。
remember it .	覚えておいてください 。
say goodbye .	さようなら 。
send him in .	彼を送ってください 。
shall we go ?	行きましょうか ？
she blushed .	彼女は顔を赤らめた 。
she fainted .	彼女は気を失った 。
she hit him .	彼女は彼を殴った 。
she is curt .	彼女は素っ気ない 。
she is dead .	彼女は死んだ 。
she is kind .	彼女は優しいです 。
she is late .	彼女は遅刻しています 。
she woke up .	彼女は目を覚ました 。
she's a dog .	彼女は犬です 。
she's a fox .	彼女はキツネです 。
should i go ?	行ったほうがいいですか ？
sleep tight .	ぐっすり眠る 。
stand aside .	脇に立ってください 。
stand still !	立ち止まってください ！
stay in bed .	ベッドにいてください 。
stay inside .	中にいてください 。
step inside .	ステップ内側 。
stop crying .	泣き止んでください 。
stop trying .	やめてください 。
take a bath .	お風呂に入ります 。
take a bite .	一口食べてください 。
take a card .	カードを取ります 。
take a look .	見てください 。
take a rest .	休んでください 。
take a seat .	席に着きます 。
take a walk .	散歩してください 。
take it all .	全部取ってください 。
that helped .	役に立ちました 。
that is all .	以上です 。
that worked .	それはうまくいきました 。
that's cool .	かっこいい 。
that's easy .	それは簡単です 。
that's free .	それは無料です 。
that's hard .	それは難しいです 。
that's hers .	それは彼女のものです 。
that's icky .	それは気持ち悪いです 。
that's lame .	それはダサい 。
that's mine .	それは私のです 。
that's true .	それは本当だ 。
that's ugly .	それは醜いです 。
that's wise .	それは賢明です 。
the tv's on .	テレビがついてます 。
there he is .	そこに彼がいます 。
there it is .	それはあります 。
they burned .	彼らは燃えました 。
they got it .	彼らはそれを理解しました 。
they hugged .	彼らは抱き合いました 。
they kissed .	彼らはキスをした 。
they obeyed .	彼らは従った 。
they smiled .	彼らは微笑んだ 。
they're bad .	彼らは悪いです 。
they're old .	彼らは古いです 。
this is bad .	これはダメだ 。
this is big .	これは大きいです 。
this is fun .	これは楽しいですね 。
this is his .	これは彼のです 。
this is new .	これは新しいです 。
this is odd .	これは奇妙だ 。
this stinks .	これは臭い 。
tom blinked .	トムは瞬きした 。
tom changed .	トムが変わりました 。
tom coughed .	トムは咳き込んだ 。
tom drowned .	トムは溺死した 。
tom inhaled .	トムが吸い込んだ 。
tom is bald .	トムはハゲです 。
tom is dead .	トムは死んだ 。
tom is lazy .	トムは怠け者です 。
tom is nuts .	トムは狂っている 。
tom is rude .	トムは失礼だ 。
tom is sexy .	トムはセクシーです 。
tom is slow .	トムは遅いです 。
tom is tall .	トムは背が高いです 。
tom is weak .	トムは弱いです 。
tom is wise .	トムは賢いです 。
tom laughed .	トムは笑った 。
tom left me .	トムは私のもとを去りました 。
tom listens .	トムは聞きます 。
tom refused .	トムは拒否した 。
tom said hi .	トムはこんにちはと言った 。
tom said no .	トムはノーと言った 。
tom sweated .	トムは汗をかきました 。
tom took it .	トムがそれを受け取りました 。
tom'll call .	トムが電話します 。
tom'll come .	トムが来ます 。
tom'll quit .	トムは辞めるよ 。
tom's alive .	トムは生きています 。
tom's alone .	トムは一人です 。
tom's angry .	トムは怒っている 。
tom's awake .	トムは起きています 。
tom's bored .	トムは退屈している 。
tom's crazy .	トムはクレイジーだ 。
tom's drunk .	トムは酔っている 。
tom's dying .	トムは死にます 。
tom's funny .	トムは面白いです 。
tom's lucky .	トムは幸運だ 。
tom's lying .	トムは嘘をついています 。
tom's sorry .	トム、ごめんなさい 。
tom's wrong .	トムは間違っています 。
try to rest .	休んでみてください 。
turn around .	振り向く 。
turn it off .	オフにしてください 。
wait for us .	待っててください 。
wake tom up .	トムを起こして 。
walk slowly .	ゆっくり歩きます 。
war is evil .	戦争は悪です 。
war is hell .	戦争は地獄だ 。
was i wrong ?	私が間違っていたのか ？
was it good ?	良かったですか ？
we all know .	私たちは皆知っています 。
we all quit .	私たちは皆辞めました 。
we all work .	私たちは皆働いています 。
we are boys .	私たちは男の子です 。
we are even .	私たちは互角です 。
we are here .	私たちはここにいます 。
we are late .	私たちは遅れています 。
we broke up .	私たちは別れました 。
we can meet .	会えます 。
we can talk .	話せます 。
we can wait .	お待ちいただけます 。
we can't go .	私たちは行けません 。
we did fine .	私たちはうまくいきました 。
we did that .	私たちはそれをしました 。
we found it .	私たちはそれを見つけました 。
we know him .	私たちは彼を知っています 。
we like tom .	私たちはトムが好きです 。
we like him .	私たちは彼が好きです 。
we miss you .	私たちはあなたがいなくて寂しいです 。
we must act .	私たちは行動しなければなりません 。
we must run .	私たちは走らなければなりません 。
we must try .	試してみなければなりません 。
we need tom .	トムが必要です 。
we need you .	私たちにはあなたが必要です 。
we promised .	私たちは約束しました 。
we remember .	私たちは覚えています 。
we survived !	私たちは生き残った ！
we survived .	私たちは生き残った 。
we want tom .	私たちはトムが欲しいです 。
we want one .	私たちはそれが欲しいです 。
we'll check .	確認させていただきます 。
we'll dance .	私たちは踊ります 。
we'll drive .	私たちが運転します 。
we'll fight .	私たちは戦います 。
we'll hurry .	急ぎます 。
we'll share .	共有しましょう 。
we'll shoot .	撃ちましょう 。
we'll stand .	私たちは立ちます 。
we'll start .	始めます 。
we're alone .	私たちは一人です 。
we're angry .	私たちは怒っています 。
we're armed .	私たちは武装しています 。
we're bored .	私たちは退屈しています 。
we're broke .	私たちは破産しました 。
we're dying .	私たちは死にかけています 。
we're early .	私たちは早いです 。
we're going .	行きます 。
we're happy .	私たちは幸せです 。
we're ready .	準備はできています 。
we're saved .	私たちは救われました 。
we're smart .	私たちは賢いです 。
we're sorry .	申し訳ありません 。
we're stuck .	私たちは立ち往生しています 。
we're tired .	私たちは疲れています 。
we're twins .	私たちは双子です 。
what a bore !	なんてつまらない ！
what a dope !	なんてヤバいんだ ！
what a drag !	何というドラッグでしょう ！
what a dump .	なんとダンプだ 。
what a heel !	なんとヒールだ ！
what a jerk !	なんて馬鹿なことだ ！
what a joke !	なんて冗談でしょう ！
what a loss !	なんという損失でしょう ！
what a mess !	何という混乱でしょう ！
what a pain !	なんという痛みでしょう ！
what a pity !	お気の毒に ！
what a team !	なんてチームなんだ ！
what is art ?	芸術とは何ですか ？
what was it ?	それは何でしたか ？
what'd i do ?	私は何をしましたか ？
what's that ?	あれは何でしょう ？
what's this ?	これは何ですか ？
where is he ?	彼はどこにいますか ？
where is it ?	どこですか ？
where was i ?	私はどこにいたの ？
where's tom ?	トムはどこですか ？
who are you ?	あなたは誰ですか ？
who cheated ?	誰が騙したの ？
who drew it ?	誰が描いたの ？
who escaped ?	誰が逃げたの ？
who is next ?	次は誰ですか ？
who's going ?	誰が行くの ？
who's there ?	そこには誰がいますか ？
whose is it ?	誰ですか ？
will it fit ?	合うでしょうか ？
will you go ?	行きますか ？
work slowly .	ゆっくりと作業してください 。
you are big .	あなたは大きいです 。
you are mad .	あなたは怒っています 。
you cheated .	あなたは騙されました 。
you fainted .	あなたは気を失いました 。
you hurt me .	あなたは私を傷つけました 。
you may sit .	座ってもいいです 。
you must go .	あなたは行かなければなりません 。
you woke me .	あなたは私を起こしました 。
you're back .	戻ってきましたね 。
you're cool .	あなたはかっこいいです 。
you're fair .	あなたは公正です 。
you're fine .	元気だよ 。
you're free .	あなたは自由です 。
you're good .	あなたは上手い 。
you're kind .	あなたは優しいですね 。
you're late .	あなたは遅れています 。
you're lazy .	あなたは怠け者です 。
you're lost .	あなたは迷っています 。
you're nice .	あなたはいいですね 。
you're nuts !	あなたは狂っている !
you're rich .	あなたは金持ちです 。
you're rude .	あなたは失礼だ 。
you're safe .	あなたは安全です 。
you're sick !	あなたは病気です ！
you're thin .	あなたは痩せていますね 。
you're weak .	あなたは弱いです 。
you're wise .	あなたは賢いですね 。
a car cut in .	車が割り込んできた 。
abandon ship !	船を放棄してください ！
act your age .	年齢に応じて行動してください 。
all is quiet .	すべてが静かです 。
all is still .	すべてはまだです 。
am i correct ?	私は正しいですか ？
am i in love ?	私は恋をしていますか ？
anybody here ?	ここに誰かいますか ？
anybody home ?	誰か家にいますか ？
anybody hurt ?	誰か怪我した ？
anything new ?	何か新しいことはありますか ？
are they new ?	彼らは新しいですか ？
are we alone ?	私たちは一人ですか ？
are we broke ?	私たちは壊れていますか ？
are we ready ?	準備はできていますか ？
are you bald ?	あなたはハゲていますか ？
are you busy ?	あなたは忙しいですか ？
are you deaf ?	あなたは耳が聞こえませんか ？
are you home ?	家にいるの ？
are you hurt ?	怪我をしていますか ？
are you lost ?	迷っていますか ？
are you sick ?	病気ですか ？
are you sure ?	本気ですか ？
be attentive .	注意してください 。
be confident .	自信を持ってください 。
be realistic !	現実的になってください ！
beef , please .	牛肉をください 。
bring a date .	デートを持ってきてください 。
bring him in .	彼を連れて来てください 。
call me back .	折り返し電話してください 。
can i finish ?	終わってもいいですか ？
can i go now ?	今行ってもいいですか ？
can i try it ?	試してもいいですか ？
can we leave ?	出発してもいいですか ？
can we start ?	始めてもいいですか ？
can you come ?	来てもらえますか ？
can you stay ?	泊まってもいいですか ？
can you swim ?	泳げますか ？
can you walk ?	歩けますか ？
check it out !	それをチェックしてください ！
come at once .	すぐに来てください 。
come back in .	戻ってきてください 。
come help me .	助けに来てください 。
come in , tom .	入って、トム 。
come join us .	ぜひご参加ください 。
come outside .	外に出てください 。
come quickly !	早く来てください ！
come quickly .	早く来てください 。
come up here .	ここに来てください 。
come with me .	私と来て 。
come with us .	私たちと一緒に来てください 。
cool it down .	冷ましてください 。
could we sit ?	座ってもいいですか ？
cover for me .	私のためのカバー 。
cut that out !	それを切り取ってください ！
did tom call ?	トムは電話しましたか ？
did tom fall ?	トムは落ちましたか ？
did tom sing ?	トムは歌いましたか ？
did tom stay ?	トムは残りましたか ？
did tom swim ?	トムは泳ぎましたか ？
did you call ?	電話しましたか ？
did you sign ?	サインしましたか ？
did you vote ?	投票しましたか ？
do i look ok ?	私は大丈夫に見えますか ？
do you agree ?	同意しますか ？
do you drink ?	飲みますか ？
do you smoke ?	タバコは吸​​いますか ？
do you teach ?	教えますか ？
do your best !	頑張ってください ！
do your best .	頑張ってください 。
do your duty .	義務を果たしなさい 。
does it hurt ?	痛いですか ？
does it work ?	効きますか ？
don't ask me .	私に聞かないでください 。
don't be mad .	怒らないでください 。
don't be sad .	悲しまないでください 。
don't be shy .	恥ずかしがらないで 。
don't bother .	気にしないでください 。
don't forget .	忘れないで 。
don't get up .	起きないでください 。
don't kid me !	冗談じゃないよ ！
don't litter !	ポイ捨てしないでください ！
don't ramble .	とりとめのないことをしないでください 。
don't resist .	抵抗しないでください 。
drive safely .	安全に運転してください 。
drive slowly .	ゆっくり運転してください 。
drop the gun .	銃を落としてください 。
easy does it .	簡単にできます 。
find the cat .	猫を見つけてください 。
fish , please .	お魚ください 。
get a doctor .	医師の診察を受けてください 。
get my rifle .	私のライフルを手に入れてください 。
ghosts exist .	幽霊は存在します 。
give me half .	半分ください 。
go for broke !	破産してください ！
go to school .	学校に行きます 。
good evening .	こんばんは 。
good for you .	よかったね 。
good morning .	おはよう 。
grab a spoon .	スプーンをつかみます 。
grab my hand .	私の手を掴んでください 。
hand it over .	それを渡してください 。
have a donut .	ドーナツを持っています 。
have a drink .	一杯飲んでください 。
have a snack .	おやつを食べてください 。
have a taste .	味わってください 。
have another .	別のものを持っています 。
he avoids me .	彼は私を避けます 。
he could die .	彼は死ぬかもしれない 。
he denied it .	彼はそれを否定した 。
he dozed off .	彼は居眠りをした 。
he dumped me .	彼は私を捨てました 。
he got angry .	彼は怒った 。
he had a dog .	彼は犬を飼っていました 。
he has a car .	彼は車を持っています 。
he has money .	彼はお金を持っています 。
he helps her .	彼は彼女を助けます 。
he is a poet .	彼は詩人です 。
he is asleep .	彼は眠っています 。
he is cranky .	彼は気難しいです 。
he is eating .	彼は食べています 。
he is heroic .	彼は英雄的だ 。
he is not in .	彼はいません 。
he just left .	彼はちょうど立ち去ったところだ 。
he kicked it .	彼はそれを蹴った 。
he let me go .	彼は私を行かせてくれました 。
he let us go .	彼は私たちを行かせてくれました 。
he likes tea .	彼はお茶が好きです 。
he lost face .	彼は面目を失った 。
he loves her .	彼は彼女を愛しています 。
he mocked me .	彼は私を嘲笑した 。
he needs you .	彼にはあなたが必要です 。
he shall die .	彼は死ぬだろう 。
he wants one .	彼はそれを望んでいます 。
he was alone .	彼は一人だった 。
he was brave .	彼は勇敢でした 。
he was great .	彼は素晴らしかった 。
he was lucky .	彼は幸運でした 。
he was naive .	彼は世間知らずだった 。
he was wrong .	彼は間違っていた 。
he will come .	彼は来るでしょう 。
he will wait .	彼は待ってくれるでしょう 。
he's a bigot .	彼は偏屈者だ 。
he's in pain .	彼は苦しんでいます 。
he's married .	彼は結婚しています 。
he's my hero .	彼は私のヒーローです 。
he's out now .	彼は今外出中です 。
he's so cute .	彼はとてもかわいいです 。
hello , girls .	こんにちは、女の子たち 。
here's a pen .	ここにペンがあります 。
hey , wait up !	おい、待ってろ ！
hold my hand .	私の手を握ってください 。
how annoying !	なんて迷惑なんだ ！
how dare you !	よくもまあ ！
how did i do ?	私はどうしましたか ？
how horrible !	なんと恐ろしいことでしょう ！
how romantic !	なんとロマンチックでしょう ！
how's school ?	学校はどうですか ？
i admire you .	私はあなたに憧れます 。
i always win .	私はいつも勝ちます 。
i am ashamed .	恥ずかしいです 。
i am at home .	私は家にいます 。
i am curious .	興味があります 。
i am married .	私は結婚しています 。
i am so sick .	私はとても病気です 。
i am thirsty .	のどが渇きました 。
i am working .	私は働いています 。
i apologized .	謝りました 。
i ate apples .	リンゴを食べました 。
i ate caviar .	キャビアを食べました 。
i believe it .	私はそれを信じます 。
i called him .	私は彼に電話しました 。
i called you .	私はあなたに電話しました 。
i can fix it .	私はそれを直すことができます 。
i can manage .	私は管理できます 。
i can't help .	どうすることもできません 。
i can't move .	動けません 。
i can't sing .	私は歌えません 。
i can't swim .	泳げません 。
i can't wait .	待ちきれない 。
i caught tom .	トムを捕まえた 。
i could help .	私がお手伝いできました 。
i could walk .	歩けました 。
i cried , too .	私も泣きました 。
i cry easily .	私はすぐに泣きます 。
i cut myself .	私は自分自身を切りました 。
i deserve it .	私はそれに値する 。
i did my job .	私は仕事をしました 。
i did see it .	見ましたよ 。
i didn't ask .	私は尋ねませんでした 。
i didn't cry .	私は泣きませんでした 。
i didn't pay .	私は支払いませんでした 。
i didn't win .	勝てなかった 。
i don't bite .	噛みません 。
i don't care .	私は気にしない 。
i don't date .	私はデートしません 。
i don't know .	わからない 。
i don't mind .	私は気にしない 。
i don't read .	読みません 。
i doubt that .	私はそれを疑います 。
i drank milk .	牛乳を飲みました 。
i drink beer .	私はビールを飲みます 。
i enjoyed it .	楽しかったです 。
i feel alive .	生きていると感じます 。
i feel awful .	ひどい気分だ 。
i feel dizzy .	眩暈がする 。
i feel faint .	気を失いそうです 。
i feel funny .	面白いと思います 。
i feel giddy .	めまいがする 。
i feel happy .	幸せを感じます 。
i feel lucky .	幸運だと感じています 。
i feel ready .	準備はできています 。
i feel silly .	バカバカしいと思う 。
i feel young .	若い気がします 。
i felt awful .	ひどい気分だった 。
i felt great .	とても気持ちよかったです 。
i felt happy .	幸せな気持ちになりました 。
i felt naked .	私は裸になったように感じました 。
i felt safer .	より安全だと感じました 。
i go jogging .	私はジョギングに行きます 。
i go to work .	仕事に行きます 。
i got carded .	カードをもらいました 。
i got caught .	捕まってしまいました 。
i got dumped .	私は捨てられました 。
i got sleepy .	眠くなってきた 。
i got soaked .	ずぶ濡れになりました 。
i got the ax .	斧を手に入れた 。
i had doubts .	疑問がありました 。
i handled it .	私が対応しました 。
i hate beans .	私は豆が嫌いです 。
i hate flies .	私はハエが嫌いです 。
i hate liars .	私は嘘つきが嫌いです 。
i have a car .	私は車を持っています 。
i have a cat .	私は猫を飼っています 。
i have a dog .	私は犬を飼っています 。
i have a gun .	私は銃を持っています 。
i have a job .	私には仕事があります 。
i have a key .	私は鍵を持っています 。
i have a kid .	私には子供がいます 。
i have a pen .	私はペンを持っています 。
i have hives .	蕁麻疹が出ています 。
i have money .	私はお金を持っています 。
i have needs .	ニーズがあります 。
i have plans .	計画があります 。
i have proof .	証拠があります 。
i have to go .	私は行かなければならない 。
i hear music .	音楽が聞こえます 。
i heard that .	それを聞きました 。
i helped tom .	私はトムを手伝いました 。
i helped out .	私は手伝いました 。
i honor that .	それを光栄に思います 。
i hugged her .	私は彼女を抱きしめました 。
i improvised .	私は即興で作りました 。
i just moved .	引っ越してきたばかりです 。
i keep a dog .	私は犬を飼っています 。
i kissed tom .	私はトムにキスした 。
i know a way .	私は方法を知っています 。
i like china .	私は中国が好きです 。
i like r & b .	私はr&bが好きです 。
i like bread .	私はパンが好きです 。
i like chess .	私はチェスが好きです 。
i like fruit .	私は果物が好きです 。
i like girls .	私は女の子が好きです 。
i like honey .	私は蜂蜜が好きです 。
i like music .	私は音楽が好きです 。
i like opera .	私はオペラが好きです 。
i like sugar .	私は砂糖が好きです 。
i like sushi .	私はお寿司が好きです 。
i like these .	私はこれらが好きです 。
i like women .	私は女性が好きです 。
i liked that .	それが気に入りました 。
i lost a bet .	賭けに負けました 。
i love books .	私は本が大好きです 。
i love bread .	私はパンが大好きです 。
i love games .	私はゲームが大好きです 。
i love jokes .	私はジョークが大好きです 。
i love music .	私は音楽が大好きです 。
i love trips .	私は旅行が大好きです 。
i loved that .	それが大好きでした 。
i made a bet .	私は賭けをしました 。
i made plans .	計画を立てました 。
i made these .	これらを作りました 。
i might stay .	残るかも知れません 。
i missed you .	あなたに会いたかった 。
i must hurry .	急がなければなりません 。
i must leave .	私は出発しなければなりません 。
i must study .	勉強しなければなりません 。
i need a bag .	バッグが必要です 。
i need a cab .	タクシーが必要です 。
i need a car .	車が必要です 。
i need a hug .	抱きしめてほしい 。
i need a job .	仕事が必要です 。
i need a map .	地図が必要です 。
i need a pen .	ペンが要ります 。
i need money .	お金が必要です 。
i need paint .	ペイントが必要です 。
i need proof .	証拠が必要です 。
i need sleep .	睡眠が必要です 。
i need space .	スペースが必要です 。
i need sugar .	砂糖が必要です 。
i need to go .	私は行く必要があります 。
i need water .	水が必要です 。
i never lose .	私は決して負けません 。
i often read .	私はよく読みます 。
i phoned him .	私は彼に電話した 。
i play piano .	私はピアノを弾きます 。
i read books .	私は本を​​読みます 。
i rewrote it .	書き直しました 。
i said maybe .	私はそうかもしれないと言いました 。
i see a book .	本を見ます 。
i see a lion .	ライオンが見えます 。
i see a rose .	バラが見えます 。
i see a star .	星が見えます 。
i sell shoes .	靴を販売しています 。
i started it .	始めました 。
i still care .	私はまだ気にしています 。
i suppose so .	そうだと思います 。
i swim a lot .	私はよく泳ぎます 。
i sympathize .	同情します 。
i teach here .	私はここで教えます 。
i thought so .	そう思った 。
i took a nap .	昼寝をしました 。
i took risks .	私はリスクを負いました 。
i tried hard .	頑張った 。
i tried that .	それを試してみました 。
i understand .	わかりました 。
i understood .	分かりました 。
i want a job .	仕事が欲しいです 。
i want a lot .	たくさん欲しいです 。
i want facts .	事実が欲しいです 。
i want proof .	証拠が欲しいです 。
i want these .	これらが欲しいです 。
i want to go .	私は行ってみたい 。
i was asleep .	私は眠っていました 。
i was beaten .	殴られました 。
i was burned .	火傷しました 。
i was canned .	私は缶詰になっていました 。
i was framed .	私はハメられました 。
i was lonely .	寂しかったです 。
i was shaken .	私は震えました 。
i was sleepy .	眠かったです 。
i was stupid .	私は愚かでした 。
i was warned .	警告されました 。
i weighed it .	重さを量りました 。
i went twice .	2回行きました 。
i will fight .	私は戦います 。
i will learn .	勉強します 。
i will shoot .	撃ちます 。
i won't come .	来ません 。
i wonder who .	誰だろう 。
i wonder why .	なぜだろう 。
i work alone .	私は一人で仕事をしています 。
i wrote that .	私はそれを書きました 。
i'd buy that .	それを買います 。
i'll ask him .	彼に聞いてみます 。
i'll be back .	私は戻ってきます 。
i'll be fine .	私は大丈夫です 。
i'll be free .	私は自由になります 。
i'll be late .	遅れます 。
i'll be nice .	よろしくお願いします 。
i'll explain .	説明します 。
i'll get ice .	氷をもらいます 。
