go .	行く 。
i'm astonished .	びっくりしました 。
i'm behind him .	私は彼の後ろにいます 。
i'm being used .	私は利用されています 。
i'm contagious .	私は伝染性です 。
i'm dead tired .	死ぬほど疲れた 。
i'm dehydrated .	脱水症状です 。
i'm dependable .	私は頼りになります 。
i'm devastated .	私は打ちのめされました 。
i'm doing fine .	私は元気です 。
i'm doing well .	私は元気です 。
i'm downstairs .	私は階下にいます 。
i'm eating now .	今食べています 。
i'm exercising .	私は運動しています 。
i'm farsighted .	遠視です 。
i'm fascinated .	私は魅了されています 。
i'm firing you .	あなたを解雇します 。
i'm free today .	今日は暇です 。
i'm from kyoto .	私は京都から来ました 。
i'm going back .	帰ります 。
i'm going bald .	ハゲるよ 。
i'm going home .	家に帰ります 。
i'm happy here .	私はここで幸せです 。
i'm happy , too .	私も嬉しいです 。
i'm having fun .	楽しんでます 。
i'm hungry now .	私は今お腹が空いています 。
i'm illiterate .	私は文盲です 。
i'm in the car .	車にいます 。
i'm interested .	興味があります 。
i'm just bored .	ただ退屈しているだけだ 。
i'm just tired .	ただ疲れているだけです 。
i'm mad at you .	私はあなたに怒っています 。
i'm making tea .	お茶を作っています 。
i'm meditating .	私は瞑想しています 。
i'm methodical .	私は几帳面です 。
i'm no quitter .	私は辞めたわけではない 。
i'm not a fool .	私は愚か者ではありません 。
i'm not a hero .	私はヒーローではありません 。
i'm not a liar .	私は嘘つきではありません 。
i'm not amused .	面白くないよ 。
i'm not asleep .	眠っていません 。
i'm not bitter .	私は苦くないです 。
i'm not cranky .	私は不機嫌ではありません 。
i'm not crying .	泣いてないよ 。
i'm not guilty .	私は無罪です 。
i'm not insane .	私は正気ではありません 。
i'm not joking .	冗談じゃないよ 。
i'm not lonely .	私は孤独ではありません 。
i'm not normal .	私は普通ではありません 。
i'm not pretty .	私は可愛くない 。
i'm not racist .	私は人種差別主義者ではありません 。
i'm not scared .	怖くないよ 。
i'm not skinny .	私は痩せていません 。
i'm not sleepy .	眠くないよ 。
i'm not so old .	私はそんなに年老いていない 。
i'm not strong .	私は強くない 。
i'm old enough .	私はもう十分な年齢です 。
i'm on holiday .	私は休暇中です 。
i'm one of you .	私もあなたの一人です 。
i'm optimistic .	私は楽観的です 。
i'm out of gas .	ガス欠です 。
i'm overweight .	私は太りすぎです 。
i'm overworked .	私は過労です 。
i'm prejudiced .	私は偏見を持っています 。
i'm rather shy .	私はかなり恥ずかしがり屋です 。
i'm really old .	私は本当に年をとりました 。
i'm reasonable .	私は合理的です 。
i'm remodeling .	改造中です 。
i'm right here .	私はここにいます 。
i'm sick of it .	もううんざりです 。
i'm so thirsty .	喉が渇いた 。
i'm so unlucky !	私は本当に不運です ！
i'm speechless .	言葉が出ない 。
i'm still busy .	私はまだ忙しいです 。
i'm still here .	私はまだここにいます 。
i'm stuck here .	私はここで立ち往生しています 。
i'm successful .	私は成功しました 。
i'm sure of it .	私はそれを確信しています 。
i'm the killer .	私が殺人者です 。
i'm the oldest .	私が最年長です 。
i'm undressing .	私は服を脱いでいます 。
i'm unemployed .	私は失業中です 。
i'm untalented .	私には才能がない 。
i'm used to it .	私はそれに慣れています 。
i'm vegetarian .	私はベジタリアンです 。
i'm very happy .	とても嬉しいです 。
i'm very short .	私はとても背が低いです 。
i'm very sorry .	大変申し訳ございません 。
i'm very tired .	とても疲れています 。
i'm very upset .	とても動揺しています 。
i'm wide awake .	すっかり目が覚めました 。
i've been busy .	忙しかったです 。
i've done that .	私はそれをやりました 。
i've forgotten .	忘れてしまいました 。
i've got plans .	計画があるよ 。
i've messed up .	めちゃくちゃになってしまった 。
i've remarried .	私は再婚しました 。
i've seen that .	私はそれを見ました 。
i've upset you .	私はあなたを怒らせてしまいました 。
if only i knew !	私が知っていれば ！
is tom jealous ?	トムは嫉妬していますか ？
is tom working ?	トムは働いていますか ？
is anyone here ?	誰かここにいますか ？
is anyone hurt ?	負傷者はいますか ？
is he american ?	彼はアメリカ人ですか ？
is he japanese ?	彼は日本人ですか ？
is he sleeping ?	彼は寝ていますか ？
is it any good ?	それは良いですか ？
is it credible ?	それは信じられますか ？
is it finished ?	終わったの ？
is it in there ?	そこにいるの ？
is it reliable ?	それは信頼できますか ？
is lunch ready ?	昼食の準備はできていますか ？
is she at home ?	彼女は家にいますか ？
is she married ?	彼女は結婚していますか ？
is that a bear ?	それはクマですか ？
is that a bird ?	それは鳥ですか ？
is that a fact ?	それは事実ですか ？
is that a wolf ?	それは狼ですか ？
is that better ?	その方が良いですか ？
is that enough ?	それで十分ですか ？
is that for me ?	それは私のためですか ？
is that likely ?	それはありそうですか ？
is that my hat ?	それは私の帽子ですか ？
is that normal ?	それは普通ですか ？
is that so bad ?	それはそんなに悪いことですか ？
is that unfair ?	それは不公平ですか ？
is this a date ?	これはデートですか ？
is this a joke ?	これは冗談ですか ？
is this a wine ?	これはワインですか ？
is this enough ?	これで十分ですか ？
is this normal ?	これは普通ですか ？
isn't it black ?	黒じゃないですか ？
isn't it scary ?	怖くないですか ？
isn't it weird ?	おかしくないですか ？
it all changed .	すべてが変わりました 。
it didn't help .	それは役に立ちませんでした 。
it didn't work .	うまくいきませんでした 。
it feels silly .	ばかばかしい気がします 。
it feels weird .	奇妙に感じます 。
it gets better .	良くなります 。
it has to stop .	止めなければなりません 。
it is saturday .	土曜日です 。
it is possible .	可能です 。
it is so early .	早いですね 。
it is too late .	もう手遅れです 。
it looked real .	本物に見えました 。
it makes sense .	それは理にかなっています 。
it may be true .	それは本当かもしれません 。
it smells good !	良い香りがします ！
it sounds easy .	それは簡単そうに思えます 。
it was a dream .	それは夢でした 。
it was a fluke .	それはまぐれでした 。
it was a rumor .	それは噂でした 。
it was awesome .	最高でした 。
it was perfect .	完璧でした 。
it was planned .	それは計画されていました 。
it was raining .	雨が降っていた 。
it was snowing .	雪が降っていました 。
it was so dark .	とても暗かったです 。
it was so good .	とても良かったです 。
it was working .	動作していました 。
it wasn't easy .	それは簡単ではありませんでした 。
it wasn't luck .	それは幸運ではありませんでした 。
it wasn't mine .	それは私のものではありませんでした 。
it'll work now .	今はうまくいきます 。
it's christmas .	クリスマスです 。
it's wednesday .	水曜日です 。
it's a bargain .	お買い得ですよ 。
it's a big one .	それは大きいです 。
it's a classic .	それは古典的です 。
it's a miracle .	それは奇跡です 。
it's a mistake .	それは間違いです 。
it's a problem .	それは問題です 。
it's all clear .	それはすべて明らかです 。
it's all right .	大丈夫です 。
it's all there .	それはすべてそこにあります 。
it's all white .	真っ白です 。
it's all wrong .	それはすべて間違っています 。
it's all yours .	それはすべてあなたのものです 。
it's an ambush !	それは待ち伏せだ ！
it's an excuse .	それは言い訳だ 。
it's beautiful .	それは美しいです 。
it's beyond me .	それは私を超えています 。
it's brand new .	新品です 。
it's dangerous !	危ないよ ！
it's dangerous .	危険です 。
it's different .	それは違います 。
it's dishonest .	それは不誠実です 。
it's expensive .	高いです 。
it's forbidden .	それは禁止されています 。
it's important .	それは重要です 。
it's inspiring .	感動的です 。
it's no secret .	それは秘密ではありません 。
it's not a dog .	それは犬ではありません 。
it's not funny .	面白くないよ 。
it's not right .	それは正しくありません 。
it's not weird .	変なことじゃないよ 。
it's our fault .	それは私たちのせいです 。
it's redundant .	それは冗長です 。
it's revolting .	それは腹立たしいです 。
it's safe here .	ここは安全です 。
it's so pretty .	とてもきれいです 。
it's the truth .	それは真実です 。
it's this book .	それはこの本です 。
it's too early .	まだ早いです 。
it's too large .	大きすぎます 。
it's too quiet .	静かすぎるよ 。
it's too risky .	それは危険すぎる 。
it's too small .	小さすぎます 。
it's undamaged .	無傷です 。
it's up to you .	それはあなた次第です 。
it's very cold .	とても寒いです 。
it's very dark .	とても暗いです 。
it's very good .	とても良いです 。
it's very late .	とても遅いです 。
it's vibrating .	振動しています 。
it's well done .	よくできています 。
it's what i am .	それが私です 。
it's your book .	それはあなたの本です 。
it's your life .	それはあなたの人生です 。
it's your turn .	あなたの番です 。
japan is weird .	日本は変だ 。
just forget it .	忘れてください 。
just ignore it .	無視してください 。
just sign here .	ここに署名するだけです 。
just sign this .	これに署名するだけです 。
just take mine .	私のものを取ってください 。
keep listening .	聞き続けてください 。
keep on trying .	試し続けてください 。
keep searching .	探し続けてください 。
keep the money .	お金を保管してください 。
kids are cruel .	子供たちは残酷です 。
leave it there .	そこに置いておいてください 。
leave it to me .	私にお任せください 。
leave it to us .	私たちにお任せください 。
leave me alone !	私を放っておいて ！
leave me alone .	私を放っておいて 。
leave my house .	家を出てください 。
leave us alone .	放っておいてください 。
lend me a hand .	手を貸してください 。
let tom answer .	トムに答えてもらいましょう 。
let tom decide .	トムに決めさせてください 。
let me do that .	そうさせてください 。
let me do this .	これをやらせてください 。
let me explain .	説明させてください 。
let me hear it .	聞かせてください 。
let the boy go .	少年を行かせてください 。
let the dog go .	犬を放してください 。
let's ask them .	彼らに聞いてみましょう 。
let's be clear .	はっきりさせておきましょう 。
let's be happy .	幸せになりましょう 。
let's call tom .	トムに電話しましょう 。
let's continue .	続けましょう 。
let's end this .	これで終わりにしましょう 。
let's get home .	家に帰りましょう 。
let's have fun .	楽しみましょう 。
let's hurry up .	急ぎましょう 。
let's not talk .	話さないようにしましょう 。
let's sit down .	座りましょう 。
let's try this .	これを試してみましょう 。
let's watch tv .	テレビを見ましょう 。
listen closely .	よく聞いてください 。
listen to this !	これを聞いてください ！
live and learn .	生きて学ぶ 。
lock the doors .	ドアをロックしてください 。
lock your door .	ドアをロックしてください 。
look after tom .	トムの世話をしてください 。
look at my arm .	私の腕を見てください 。
look for clues .	手がかりを探してください 。
lunch is ready .	昼食の準備ができました 。
make an effort .	努力してください 。
make it larger .	大きくしてください 。
make your move .	行動を起こしてください 。
many fish died .	多くの魚が死んだ 。
mary is lovely .	メアリーは素敵です 。
may i eat this ?	これを食べてもいいですか ？
may i go first ?	私が先に行ってもいいですか ？
may i help you ?	どうなさいました ？
may i join you ?	ご一緒してもいいですか ？
may i kiss you ?	キスしてもいいですか ？
may i sit here ?	ここに座ってもいいですか ？
may i use this ?	これを使ってもいいですか ？
men are idiots .	男はバカだ 。
men are simple .	男性は単純です 。
more is needed .	もっと必要です 。
mum's the word .	お母さんの言葉です 。
my car's dirty .	私の車は汚れています 。
my hair is wet .	私の髪は濡れています 。
my joints ache .	関節が痛いです 。
my name is tom .	私の名前はトムです 。
my nose itches .	鼻がかゆいです 。
my plan worked .	私の計画はうまくいきました 。
my tooth hurts .	歯が痛いです 。
my tummy hurts .	おなかが痛いです 。
no one arrived .	誰も到着しませんでした 。
no one can say .	誰も言えません 。
no one can see .	誰も見ることができません 。
no one cheated .	誰も騙されていません 。
no one escaped .	誰も逃げなかった 。
no one is home .	誰も家にいません 。
no one knew it .	誰もそれを知りませんでした 。
no one laughed .	誰も笑わなかった 。
no one noticed .	誰も気づかなかった 。
no one told me .	誰も教えてくれなかった 。
no one was hit .	誰も殴られませんでした 。
nobody is here .	ここには誰もいません 。
now i feel bad .	今は気分が悪いです 。
now i know why .	今ならその理由が分かります 。
now i remember .	今思い出しました 。
only god knows .	神のみぞ知る 。
open the doors .	ドアを開けてください 。
open this door .	このドアを開けてください 。
open your eyes .	目を開けてください 。
open your hand .	手を開いてください 。
pack your gear .	ギアを梱包してください 。
pigs can't fly .	豚は飛べない 。
play us a tune .	曲をかけてください 。
please come in .	入ってください 。
please help me .	私を助けてください 。
please open it .	開いてください 。
please say yes .	「はい」と言ってください 。
please tell me .	教えてください 。
prepare to die .	死ぬ準備をしてください 。
prices went up .	価格が上がりました 。
prove it to me .	それを私に証明してください 。
pull over here .	ここに停めてください 。
put on the hat .	帽子をかぶってください 。
read this book .	この本を読んでください 。
read your book .	本を読んでください 。
relax a moment .	ちょっとリラックスしてください 。
save me a seat .	席を確保してください 。
say it clearly .	はっきり言ってください 。
say that again .	もう一度言ってください 。
school is over .	学校は終わりました 。
science is fun .	科学は楽しいです 。
seal the doors .	ドアを密閉します 。
see you around .	またね 。
shall we order ?	注文しましょうか ？
she adores him .	彼女は彼を愛しています 。
she called him .	彼女は彼に電話した 。
she came alone .	彼女は一人で来ました 。
she can't swim .	彼女は泳げません 。
she choked him .	彼女は彼の首を絞めた 。
she cooks well .	彼女は料理が上手です 。
she ditched me .	彼女は私を捨てた 。
she dumped him .	彼女は彼を捨てた 。
she fooled him .	彼女は彼を騙した 。
she gave money .	彼女はお金をあげました 。
she got caught .	彼女は捕まった 。
she grew roses .	彼女はバラを育てました 。
she has a bike .	彼女は自転車を持っています 。
she has a book .	彼女は本を持っています 。
she has brains .	彼女には頭脳がある 。
she helped him .	彼女は彼を助けた 。
she hugged him .	彼女は彼を抱きしめた 。
she is a nurse .	彼女は看護師です 。
she is awkward .	彼女は気まずいです 。
she is dieting .	彼女はダイエット中です 。
she is out now .	彼女は今外出中です 。
she is talking .	彼女は話しています 。
she isn't poor .	彼女は貧乏ではありません 。
she kept quiet .	彼女は黙っていた 。
she kicked him .	彼女は彼を蹴った 。
she kissed him .	彼女は彼にキスをした 。
she liked that .	彼女はそれが気に入った 。
she likes wine .	彼女はワインが好きです 。
she looked ill .	彼女は病気そうに見えた 。
she loves cake .	彼女はケーキが大好きです 。
she loves cats .	彼女は猫が大好きです 。
she might come .	彼女は来るかもしれない 。
she never lies .	彼女は決して嘘をつきません 。
she plays bach .	彼女はバッハを弾きます 。
she seems rich .	彼女は金持ちのようだ 。
she shot a gun .	彼女は銃を撃った 。
she sings well .	彼女は歌が上手です 。
she smells bad .	彼女は臭いがする 。
she swims well .	彼女は泳ぎが上手です 。
she teased him .	彼女は彼をからかった 。
she trusts him .	彼女は彼を信頼しています 。
she types well .	彼女はタイプが上手です 。
she was crying .	彼女は泣いていました 。
she works hard .	彼女は一生懸命働きます 。
she's a beauty .	彼女は美人です 。
she's a hottie .	彼女は湯たんぽです 。
she's a looker .	彼女は見物人だ 。
she's adorable .	彼女は愛らしいです 。
she's an angel .	彼女は天使です 。
she's demented .	彼女は認知症だ 。
she's divorced .	彼女は離婚しました 。
she's innocent .	彼女は無実です 。
she's not here .	彼女はここにいません 。
she's pregnant .	彼女は妊娠しています 。
she's too loud .	彼女はうるさすぎる 。
should i close ?	閉めたほうがいいですか ？
should i leave ?	去るべきですか ？
should i reply ?	返信したほうがいいでしょうか ？
should i start ?	始めるべきですか ？
should we wait ?	待ったほうがいいですか ？
show it to her .	それを彼女に見せてください 。
show it to him .	それを彼に見せてください 。
show us around .	案内してください 。
shut that door .	そのドアを閉めてください 。
shut your eyes .	目を閉じてください 。
sing me a song .	歌を歌ってください 。
sing us a song .	私たちに歌を歌ってください 。
smoke appeared .	煙が出ました 。
smoking stinks .	喫煙は臭い 。
snap out of it !	すぐに外せます ！
someone called .	誰かが と呼んだ 。
stay out of it .	近づかないでください 。
stop grumbling .	不平不満を言うのはやめてください 。
stop poking me .	私をつつくのはやめてください 。
stop resisting !	抵抗するのはやめてください ！
stop screaming .	叫ぶのはやめてください 。
sugar is sweet .	砂糖は甘いです 。
summer is over .	夏は終わりました 。
take a picture .	写真を撮ります 。
take that back .	それを取り戻してください 。
take the wheel .	ハンドルを握ってください 。
take your shot .	ショットを撮ってください 。
take your time .	ゆっくりしてください 。
tell the truth .	本当のことを言ってください 。
tell us a joke .	冗談を言ってください 。
thanks a bunch .	たくさんありがとう 。
thanks so much .	本当にありがとう 。
that is a boat .	それはボートです 。
that took guts .	勇気が要りました 。
that was a lie .	それは嘘でした 。
that was close .	それは近かった 。
that was great .	それは素晴らしかった 。
that was quick .	早かったです 。
that was sweet .	それは甘かった 。
that was weird .	それは奇妙でした 。
that'll be all .	以上です 。
that's a crime .	それは犯罪です 。
that's a shame .	それは残念だ 。
that's a tower .	それは塔です 。
that's alright .	大丈夫です 。
that's amazing !	それはすごいですね ！
that's chicken .	それは鶏肉です 。
that's correct .	それは正しいです 。
that's evident .	それは明らかです 。
that's foolish .	それは愚かなことです 。
that's for you .	それはあなたのためです 。
that's illegal .	それは違法です 。
that's logical .	それは論理的です 。
that's my beer .	それは私のビールです 。
that's my goal .	それが私の目標です 。
that's my idea .	それが私の考えです 。
that's my wish .	それが私の願いです 。
that's no good .	それはダメだ 。
that's not bad .	それは悪くない 。
that's not how .	そういうわけではありません 。
that's not why .	それが理由ではありません 。
that's perfect .	それは最高です 。
that's rubbish .	それはゴミだ 。
that's so hard .	それはとても難しいです 。
that's strange .	それは奇妙だ 。
that's the law .	それが法律です 。
that's the one .	それがそれです 。
that's the way .	それがその方法です 。
the baby cried .	赤ん坊は泣きました 。
the birds sang .	鳥が歌いました 。
the cat is wet .	猫は濡れています 。
the dog barked .	犬が吠えた 。
the flag is up .	旗が立っています 。
the ice melted .	氷が溶けた 。
the price rose .	価格が上がりました 。
the roof leaks .	屋根が雨漏りする 。
the tea is hot .	お茶は熱いです 。
their eyes met .	彼らの目は合った 。
there's a leak .	漏れがあります 。
there's a risk .	リスクがあります 。
there's a snag .	問題があります 。
these are mine .	これらは私のものです 。
they adore tom .	彼らはトムを愛しています 。
they all drank .	彼らは皆飲んだ 。
they are alone .	彼らは一人です 。
they are bored .	彼らは退屈している 。
they asked him .	彼らは彼に尋ねた 。
they found out .	彼らは気づいた 。
they hated tom .	彼らはトムを嫌っていた 。
they have come .	彼らは来ました 。
they have kids .	彼らには子供がいます 。
they have wine .	彼らはワインを持っています 。
they just left .	彼らはちょうど去ったところです 。
they let me go .	彼らは私を行かせてくれました 。
they look cool .	見た目もカッコいいです 。
they loved tom .	彼らはトムが大好きでした 。
they quarreled .	彼らは喧嘩した 。
they ruined it .	彼らはそれを台無しにした 。
they smell bad .	悪臭がします 。
they struggled .	彼らは苦労した 。
they want more .	彼らはもっと欲しいと思っています 。
they want this .	彼らはこれを望んでいます 。
they were busy .	彼らは忙しかったです 。
they were dead .	彼らは死んでいた 。
they work hard .	彼らは一生懸命働きます 。
they're asleep .	彼らは眠っています 。
they're babies .	彼らは赤ちゃんです 。
they're boring .	彼らは退屈だ 。
they're coming .	they're coming .
they're coming .	彼らは来ます 。
they're idiots .	they're idiots .
they're inside .	彼らは中にいます 。
they're strong .	彼らは強いです 。
they're strong .	they're strong .
think about it .	考えてみてください 。
think positive .	ポジティブに考えてください 。
this annoys me .	this annoys me .
this annoys me .	これはイライラします 。
this dog bites .	this dog bites .
this dog bites .	この犬は噛みます 。
this is a book .	this is a book .
this is a desk .	this is a desk .
this is a fact .	これは事実です 。
this is a fake .	これは偽物です 。
this is a fork .	これはフォークです 。
this is a gift .	これは贈り物です 。
this is a joke .	これは冗談です 。
this is a lion .	これはライオンです 。
this is a scam .	これは詐欺です 。
this is a sign .	これはサインです 。
this is absurd .	これは不合理です 。
this is boring .	これは退屈だ 。
this is creepy .	これは不気味だ 。
this is doable .	これは実行可能です 。
this is insane .	これは正気の沙汰ではありません 。
this is my car .	これは私の車です 。
this is my cat .	これは私の猫です 。
this is my dog .	これは私の犬です 。
this is normal .	これは正常です 。
this is pretty .	これはかわいいですね 。
this is simple .	これは簡単です 。
this is theirs .	これは彼らのものです 。
this is tricky .	これは難しいです 。
this is unsafe .	これは危険です 。
this is urgent .	これは緊急です 。
this was a lie .	これは嘘でした 。
those are good .	それらは良いです 。
those are mine .	それらは私のものです 。
those are nice .	それはいいですね 。
throw it there .	そこに投げてください 。
throw the ball .	ボールを投げます 。
throw the dice .	サイコロを投げます 。
tie your shoes .	靴紐を結びます 。
time will tell .	時間が経てばわかります 。
tom apologized .	トムは謝った 。
tom can't help .	トムは何もできません 。
tom can't swim .	トムは泳げません 。
tom did it all .	トムが全部やってくれた 。
tom died at 65 .	トムは65歳で亡くなりました 。
tom drank milk .	トムは牛乳を飲みました 。
tom draws well .	トムは絵が上手です 。
tom felt great .	トムはとても気分がよかった 。
tom fired mary .	トムはメアリーを解雇した 。
tom got dumped .	トムは捨てられた 。
tom had to run .	トムは走らなければならなかった 。
tom hated that .	トムはそれが嫌いだった 。
tom hates mary .	トムはメアリーが嫌いです 。
tom hates dogs .	トムは犬が嫌いです 。
tom is a crook .	トムは詐欺師です 。
tom is a felon .	トムは重犯罪者です 。
tom is a guest .	トムはゲストです 。
tom is a moron .	トムはバカだ 。
tom is a pilot .	トムはパイロットです 。
tom is at work .	トムは仕事中です 。
tom is awesome .	トムは素晴らしいです 。
tom is driving .	トムが運転しています 。
tom is helpful .	トムは役に立ちます 。
tom is kidding .	トムは冗談だよ 。
tom is leaving .	トムは出発します 。
tom is married .	トムは結婚しています 。
tom is my boss .	トムは私の上司です 。
tom is on duty .	トムは勤務中です 。
tom is outside .	トムは外にいる 。
tom is packing .	トムは梱包しています 。
tom is playing .	トムは遊んでいます 。
tom is sincere .	トムは誠実です 。
tom is smashed .	トムは潰れた 。
tom is special .	トムは特別です 。
tom is starved .	トムは飢えています 。
tom is staying .	トムは滞在しています 。
tom is talking .	トムが話しています 。
tom is thirsty .	トムはのどが渇いています 。
tom is working .	トムは働いています 。
tom isn't dumb .	トムはバカじゃないよ 。
tom isn't here .	トムはここにいません 。
tom isn't rich .	トムは金持ちではありません 。
tom isn't rude .	トムは失礼ではありません 。
tom isn't safe .	トムは安全ではない 。
tom knows mary .	トムはメアリーを知っています 。
tom knows that .	トムはそれを知っています 。
tom liked that .	トムはそれが気に入りました 。
tom likes rock .	トムはロックが好きです 。
tom likes snow .	トムは雪が好きです 。
tom likes them .	トムは彼らが好きです 。
tom likes tofu .	トムは豆腐が好きです 。
tom looks sick .	トムは病気のようです 。
tom loves mary .	トムはメアリーが大好きです 。
tom loves dogs .	トムは犬が大好きです 。
tom loves maps .	トムは地図が大好きです 。
tom made plans .	トムが作った計画 。
tom may change .	トムは変わるかもしれない 。
tom needs help .	トムは助けが必要です 。
tom needs this .	トムにはこれが必要です 。
tom needs work .	トムは仕事が必要だ 。
tom passed out .	トムは気を失った 。
tom seems calm .	トムは落ち着いているようだ 。
tom seems lost .	トムは迷ったようだ 。
tom seems nice .	トムはいいようだ 。
tom set a trap .	トムは罠を仕掛けた 。
tom stopped it .	トムは止めた 。
tom trusts him .	トムは彼を信頼しています 。
tom trusts you .	トムはあなたを信頼しています 。
tom warned you .	トムはあなたに警告しました 。
tom was better .	トムの方が良かった 。
tom was dumped .	トムは捨てられた 。
tom was lonely .	トムは寂しかった 。
tom was stoned .	トムは石を投げられた 。
tom was thirty .	トムは３０歳だった 。
tom will check .	トムがチェックします 。
tom won't know .	トムには分からないだろう 。
tom won't mind .	トムは気にしないよ 。
tom's a doctor .	トムは医者です 。
tom's confused .	トムは混乱しています 。
tom's diabetic .	トムは糖尿病です 。
tom's dreaming .	トムは夢を見ている 。
tom's drowning .	トムは溺れている 。
tom's harmless .	トムは無害です 。
tom's homeless .	トムのホームレス 。
tom's innocent .	トムは無実だ 。
tom's not here .	トムはここにいません 。
tom's sweating .	トムは汗をかいています 。
tom's upstairs .	トムの上の階にいます 。
tom , don't die .	トム、死なないで 。
try not to cry .	泣かないようにしましょう 。
try this sauce .	このソースを試してみてください 。
try to find it .	見つけてみてください 。
try to stop me .	私を止めてみてください 。
turn on the tv .	テレビをつけてください 。
walk tall , son .	背を高くして歩く、息子 。
was that a yes ?	それはイエスでしたか ？
wash your face .	顔を洗います 。
wash your feet .	足を洗います 。
watch the door .	ドアに注目してください 。
watch the rear .	後ろを見てください 。
watch the road .	道路に注意してください 。
watch yourself .	自分自身に注意してください 。
we all cheered .	私たちは皆で歓声を上げました 。
we all do that .	私たち全員がそうします 。
we all knew it .	私たちは皆それを知っていました 。
we all know it .	私たちは皆それを知っています 。
we all laughed .	私たちは皆で笑いました 。
we almost left .	もうすぐ出発です 。
we are all set .	準備は完了です 。
we are doctors .	私たちは医者です 。
we can do that .	私たちにはそれができます 。
we can proceed .	続行できます 。
we can't do it .	私たちにはそれはできません 。
we could crash .	衝突する可能性があります 。
we didn't kiss .	私たちはキスしませんでした 。
we drank a lot .	私たちはたくさん飲みました 。
we had a blast .	とても楽しかったです 。
we had a blast .	we had a blast .
we had to stop .	止めなければなりませんでした 。
we have a deal .	私たちは契約を結んでいます 。
we have a plan .	私たちには計画があります 。
we have a pool .	プールがあります 。
we have enough .	私たちは十分に持っています 。
we have guests .	ゲストがいます 。
we have it all .	私たちはそれをすべて持っています 。
we just landed .	ちょうど着陸しました 。
we knew enough .	私たちは十分に知っていました 。
we know enough .	私たちは十分に知っています 。
we laugh a lot .	私たちはよく笑います 。
we love coffee .	私たちはコーヒーが大好きです 。
we made a deal .	私たちは取引をしました 。
we met earlier .	私たちは以前に会った 。
we must attack .	私たちは攻撃しなければなりません 。
we must decide .	私たちは決断しなければなりません 。
we must escape .	私たちは逃げなければなりません 。
we must go now .	今行かなければなりません 。
we need a hero .	私たちには英雄が必要です 。
we need a plan .	計画が必要です 。
we need action .	行動が必要です 。
we need heroes .	私たちにはヒーローが必要です 。
we need to eat .	私たちは食べる必要があります 。
we need to win .	私たちは勝つ必要があります 。
we needed help .	助けが必要でした 。
we needed this .	これが必要でした 。
we never voted .	私たちは投票したことがありません 。
we only kissed .	私たちはキスだけしました 。
we saw nothing .	何も見えなかった 。
we shook hands .	私たちは握手をしました 。
we should help .	私たちは助けるべきです 。
we should wait .	待つべきです 。
we study music .	私たちは音楽を勉強します 。
we surrendered .	私たちは降伏しました 。
we volunteered .	私たちはボランティアをしました 。
we want change .	私たちは変化が欲しいです 。
we were beaten .	私たちは殴られました 。
we were wasted .	私たちは無駄でした 。
we'll be there .	私たちはそこにいます 。
we'll call you .	電話いたします 。
we'll continue .	続けます 。
we'll help you .	私たちがお手伝いします 。
we'll miss tom .	トムがいなくなると寂しくなるよ 。
we'll miss you .	あなたがいなくて寂しいです 。
we'll paint it .	ペイントしてみます 。
we're a couple .	私たちはカップルです 。
we're a family .	私たちは家族です 。
we're all busy .	私たちは皆忙しいです 。
we're all done .	もう終わりです 。
we're all ears .	私たちは皆耳を持っています 。
we're all here .	私たちは皆ここにいます 。
we're all safe .	私たちは皆安全です 。
we're brothers .	私たちは兄弟です 。
we're confused .	私たちは混乱しています 。
we're divorced .	私たちは離婚しました 。
we're escaping .	私たちは逃げています 。
we're fighting .	私たちは戦っています 。
we're finished .	もう終わりです 。
we're freezing .	凍っています 。
we're grateful .	感謝しています 。
we're helpless .	私たちは無力です 。
we're here now .	私たちは今ここにいます 。
we're managing .	私たちが管理しています 。
we're not cops .	私たちは警官ではありません 。
we're not done .	まだ終わっていません 。
we're not free .	私たちは自由ではありません 。
we're not home .	私たちは家にいません 。
we're not late .	私たちは遅れていません 。
we're not lost .	私たちは迷子ではありません 。
we're not open .	私たちは開いていません 。
we're not rich .	私たちは裕福ではありません 。
we're not safe .	私たちは安全ではありません 。
we're not sure .	よくわかりません 。
we're obedient .	私たちは従順です 。
we're partners .	私たちはパートナーです 。
we're powerful .	私たちは強力です 。
we're prepared .	準備はできています 。
we're punctual .	私たちは時間厳守です 。
we're quitting .	私たちは辞めます 。
we're reliable .	私たちは信頼できます 。
we're retiring .	私たちは引退します 。
we're ruthless .	私たちは無慈悲です 。
we're safe now .	今は安全です 。
we're so sorry .	申し訳ありません 。
we're standing .	私たちは立っています 。
we're starving .	私たちは飢えています 。
we're stubborn .	私たちは頑固です 。
we're students .	私たちは学生です 。
we're the best .	私たちは最高です 。
we're the last .	私たちが最後です 。
we're the same .	私たちも同じです 。
we're too busy .	私たちは忙しすぎます 。
we're too late .	もう手遅れです 。
we're too weak .	私たちは弱すぎる 。
we're up early .	私たちは早起きしています 。
we've finished .	終わった 。
we've seen her .	私たちは彼女を見てきました 。
we've seen him .	私たちは彼を見たことがあります 。
well done , tom .	よくやった、トム 。
well , let's go .	さて、行きましょう 。
were they good ?	彼らは良かったですか ？
were you happy ?	幸せでしたか ？
were you there ?	そこにいましたか ？
what a bargain !	なんとお買い得でしょう ！
what a big dog !	なんと大きな犬でしょう ！
